dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,reward_gap_to_oracle_mean_std
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,0.9008,0.05800000000000001,0.05800000000000001,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07959341842412951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020487393201864914
Amazon-VideoGames,Penalty,0.9,10,1.0,0.9231999999999999,0.0568,0.0568,0.027919572537517152,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10883552420616152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020487393201864914
Amazon-VideoGames,Primal-Dual,0.9,10,1.0,0.9019999999999999,0.0566,0.0566,0.028076010733935154,0.0968,0.1384195702791214,0.9072887420564889,6.03598250939846,-0.0015732594680782697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002048739320186483
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.0,0.9002000000000001,0.05639999999999999,0.05639999999999999,0.02803887088346388,0.0968,0.027533619346618653,0.7954228433901072,5.945909201159477,0.08850004877090463,0.0,0.0,0.0,0.0,0.0,0.0001888541023758672,0.00019270027705065208,0.00019625118186824587,2.535458234898345e-05
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,0.9006000000000001,0.0566,0.0566,0.028071484846224532,0.09836,0.13638140517234804,0.9054665089732408,6.034409249930382,0.0,0.0,0.0,0.0,9.286925630122722e-06,8.207826816681442e-05,0.00020429982817375553,0.0002099006321955378,0.0002048739320186485,0.0
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,0.9002000000000001,0.05639999999999999,0.05639999999999999,0.02803887088346388,0.0968,0.026840903468132015,0.795420817683339,5.945776556563377,0.08863269336700448,0.0,0.0,0.0,0.0,0.0,0.00018519143172370209,0.0001884173360419414,0.00019420027067033936,3.06778831390736e-05
ML-1M,AdaptivePenalty,0.9,10,1.0,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.038407914541730294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558879638171146e-05
ML-1M,Penalty,0.9,10,1.0,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.02027568200845451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558879638171157e-05
ML-1M,Primal-Dual,0.9,10,1.0,0.899751449875725,0.07141673570836786,0.07141673570836786,0.034585581502488166,0.09809444904722453,0.09987705699253795,1.495546075480727,10.540709040909634,2.167361179736815e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558879638171169e-05
ML-1M,QuotaGate-RDU,0.9,10,1.0,0.9000828500414251,0.07105219552609776,0.07105219552609776,0.03456365717729395,0.0975973487986744,0.022855165698060155,1.4147512067626011,10.504619862952307,0.03611085156912495,0.0,6.800187917714267e-05,6.800187917714267e-05,2.047060539384058e-05,0.0,0.0001179625890577039,0.00014154014246252648,3.9309072347528006e-05,6.076568016628658e-06
ML-1M,QuotaGate-U,0.9,10,1.0,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09743164871582435,0.10001753820499903,1.495470934335664,10.540730714521432,0.0,0.0,0.0,0.0,0.0,0.0,0.00010997448528207918,9.930499114790305e-05,3.558879638156338e-05,0.0
ML-1M,WBEThreshold,0.9,10,1.0,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.02177866276770263,1.4154191865766452,10.504484470844664,0.036246243676767875,0.0,0.0,0.0,0.0,0.0,0.00011739518527842145,0.00011145682972611015,3.514014074721735e-05,2.635722306928387e-06
ML-20M,AdaptivePenalty,0.9,10,1.0,0.9002000000000001,0.0846,0.0846,0.04044549332856939,0.0964,0.019120929982662186,0.5735938640624285,9.79482408812046,0.019557433772087407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.512591509781393e-05
ML-20M,Penalty,0.9,10,1.0,0.9018,0.0832,0.0832,0.04002887178759867,0.095,0.018743225264549242,0.5749479637980461,9.796169342589378,0.018212179303169762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.512591509781393e-05
ML-20M,Primal-Dual,0.9,10,1.0,0.8998000000000002,0.0822,0.0822,0.04009326499218873,0.0974,0.04167822164535521,0.6473377051070333,9.814572551727295,-0.0001910298347471695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.512591509781401e-05
ML-20M,QuotaGate-RDU,0.9,10,1.0,0.9002000000000001,0.082,0.082,0.040015766059772785,0.0964,0.008726649558544146,0.6126998184564709,9.788719746723174,0.025661775169372802,0.0,0.0,0.0,0.0,0.0,8.62345447857339e-05,9.34408846483369e-05,8.31618190837229e-05,1.7955575818183042e-05
ML-20M,QuotaGate-U,0.9,10,1.0,0.9002000000000001,0.0822,0.0822,0.04011837641584636,0.0966,0.041381557602882375,0.6469765598085523,9.814381521892548,0.0,0.0,0.0,0.0,0.0,0.0,6.582557586154519e-05,7.931182272216569e-05,8.512591509779937e-05,0.0
ML-20M,WBEThreshold,0.9,10,1.0,0.9002000000000001,0.0822,0.0822,0.04011576605977278,0.096,0.008172160654067982,0.6130404183271527,9.788965832576752,0.02541568931579654,0.0,0.0,0.0,0.0,0.0,8.759302505478365e-05,0.00010037216536132628,8.431834575391778e-05,1.0632718001058977e-05
