dataset,challenger,comparator,metric,delta_mean,ci_low,ci_high,significant
Amazon-VideoGames,QuotaGate-RDU,QuotaGate-U,weighted_bad_exposure,0.10884778582572938,0.10244941356730461,0.11548220761406422,True
Amazon-VideoGames,QuotaGate-RDU,QuotaGate-U,reward_gap_to_oracle_proxy,-0.08850004877090455,-0.09403560347676278,-0.08323843981695175,True
Amazon-VideoGames,QuotaGate-RDU,QuotaGate-U,ndcg,-3.261396276066003e-05,-0.0001567950895348527,9.816443598629532e-05,False
Amazon-VideoGames,QuotaGate-RDU,WBEThreshold,weighted_bad_exposure,-0.0006927158784866333,-0.0015782853226661683,1.3347610235214146e-05,False
Amazon-VideoGames,QuotaGate-RDU,WBEThreshold,reward_gap_to_oracle_proxy,0.00013264459609985352,-0.0004755413537025452,0.0008752866477966306,False
Amazon-VideoGames,QuotaGate-RDU,WBEThreshold,ndcg,0.0,0.0,0.0,False
Amazon-VideoGames,QuotaGate-RDU,AdaptivePenalty,weighted_bad_exposure,0.02852977345943451,0.025117904764056207,0.03207867270100116,True
Amazon-VideoGames,QuotaGate-RDU,AdaptivePenalty,reward_gap_to_oracle_proxy,-0.008906630346775055,-0.01414010939067602,-0.00427045331513882,True
Amazon-VideoGames,QuotaGate-RDU,AdaptivePenalty,ndcg,-0.0004806506233492617,-0.0009427614130311388,-3.658656888267177e-05,True
ML-1M,QuotaGate-RDU,QuotaGate-U,weighted_bad_exposure,0.07716237250693889,0.07316632791651906,0.08116677435714544,True
ML-1M,QuotaGate-RDU,QuotaGate-U,reward_gap_to_oracle_proxy,-0.036110851569124365,-0.03793869661395966,-0.03435378110596436,True
ML-1M,QuotaGate-RDU,QuotaGate-U,ndcg,-2.7831701723403385e-05,-0.00023770618023427023,0.0001887940133825173,False
ML-1M,QuotaGate-RDU,WBEThreshold,weighted_bad_exposure,-0.0010765029303575213,-0.001637321062293444,-0.0005502317583057244,True
ML-1M,QuotaGate-RDU,WBEThreshold,reward_gap_to_oracle_proxy,0.0001353921076435636,-8.464522468421512e-05,0.00036678324638562645,False
ML-1M,QuotaGate-RDU,WBEThreshold,ndcg,2.9053745366012148e-05,-1.5505223903042423e-05,7.538635088697087e-05,False
ML-1M,QuotaGate-RDU,AdaptivePenalty,weighted_bad_exposure,0.023318547009434108,0.021231711515752164,0.02578441241054171,True
ML-1M,QuotaGate-RDU,AdaptivePenalty,reward_gap_to_oracle_proxy,0.002297062972605278,0.0005040703214884003,0.0038823883333972587,True
ML-1M,QuotaGate-RDU,AdaptivePenalty,ndcg,-0.0005888034803079873,-0.0010672396467858096,-9.454267888007724e-05,True
ML-20M,QuotaGate-RDU,QuotaGate-U,weighted_bad_exposure,0.032654908044338224,0.03067389528975487,0.034753955460357665,True
ML-20M,QuotaGate-RDU,QuotaGate-U,reward_gap_to_oracle_proxy,-0.02566177516937256,-0.027418285269260406,-0.02404702772808075,True
ML-20M,QuotaGate-RDU,QuotaGate-U,ndcg,-0.0001026103560735695,-0.00037320361730359286,0.00017653676370214658,False
ML-20M,QuotaGate-RDU,WBEThreshold,weighted_bad_exposure,-0.0005544889044761657,-0.0008233272632718084,-0.0002619898442149165,True
ML-20M,QuotaGate-RDU,WBEThreshold,reward_gap_to_oracle_proxy,-0.00024608585357666015,-0.00048171471548080443,-2.391269111633328e-05,True
ML-20M,QuotaGate-RDU,WBEThreshold,ndcg,-0.0001,-0.0002,-2e-05,True
ML-20M,QuotaGate-RDU,AdaptivePenalty,weighted_bad_exposure,0.010394280424118045,0.00932681728451252,0.011547333727025986,True
ML-20M,QuotaGate-RDU,AdaptivePenalty,reward_gap_to_oracle_proxy,-0.006104341397285462,-0.007650060314059257,-0.0045572032606601715,True
ML-20M,QuotaGate-RDU,AdaptivePenalty,ndcg,-0.00042972726879660295,-0.0009325110524867026,5.26624376008528e-05,False
