dataset,method,tau,k,width_scale,ms_per_user,sec_total,ms_per_user_std,sec_total_std
Amazon-VideoGames,AdaptivePenalty,0.8,10,1.0,0.13648317800834775,0.6824158900417387,0.006413528471806434,0.03206764235903213
Amazon-VideoGames,AdaptivePenalty,0.9,5,1.0,0.14160857355222106,0.7080428677611053,0.004257448273948427,0.021287241369742183
Amazon-VideoGames,AdaptivePenalty,0.9,10,0.8,0.13740157099440692,0.6870078549720346,0.003956209926779231,0.019781049633896198
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,0.1411103780148551,0.7055518900742754,0.006778596467256152,0.033892982336280755
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.2,0.16808874920010566,0.8404437460005283,0.027197068652564167,0.1359853432628208
Amazon-VideoGames,AdaptivePenalty,0.9,20,1.0,0.14551998490467669,0.7275999245233834,0.0051537692247688146,0.02576884612384402
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.0,0.1443605576455593,0.7218027882277965,0.00641748953505695,0.032087447675284715
Amazon-VideoGames,Penalty,0.8,10,1.0,0.11937194019556045,0.5968597009778023,0.007323631206158992,0.03661815603079496
Amazon-VideoGames,Penalty,0.9,5,1.0,0.12794514482840896,0.6397257241420448,0.005713287273183089,0.028566436365915417
Amazon-VideoGames,Penalty,0.9,10,0.8,0.13918919064104557,0.6959459532052279,0.002373281130251272,0.011866405651256367
Amazon-VideoGames,Penalty,0.9,10,1.0,0.13038593039382249,0.6519296519691125,0.011334544891579453,0.056672724457897325
Amazon-VideoGames,Penalty,0.9,10,1.2,0.11503596767783164,0.5751798383891582,0.01077100366449677,0.053855018322483836
Amazon-VideoGames,Penalty,0.9,20,1.0,0.13181412117555738,0.6590706058777869,0.012842690519455803,0.064213452597279
Amazon-VideoGames,Penalty,0.95,10,1.0,0.1284916626662016,0.642458313331008,0.007200559913590114,0.03600279956795056
Amazon-VideoGames,Primal-Dual,0.8,10,1.0,0.5174165572598577,2.5870827862992885,0.004097036537887872,0.020485182689439232
Amazon-VideoGames,Primal-Dual,0.9,5,1.0,0.5568068871274591,2.7840344356372952,0.008418800062311951,0.042094000311559736
Amazon-VideoGames,Primal-Dual,0.9,10,0.8,0.3554458370059729,1.7772291850298643,0.005417516131992176,0.027087580659960954
Amazon-VideoGames,Primal-Dual,0.9,10,1.0,0.5040778236929327,2.5203891184646636,0.0347949511793637,0.17397475589681846
Amazon-VideoGames,Primal-Dual,0.9,10,1.2,0.6170388811640442,3.0851944058202205,0.06499452262199655,0.32497261310998293
Amazon-VideoGames,Primal-Dual,0.9,20,1.0,0.5000118419341744,2.5000592096708716,0.005764231287906815,0.028821156439534007
Amazon-VideoGames,Primal-Dual,0.95,10,1.0,0.5180777875334025,2.5903889376670124,0.007199283270288604,0.035996416351443204
Amazon-VideoGames,QuotaGate-RDU,0.8,10,1.0,0.5096797852963209,2.5483989264816045,0.05036141829352595,0.25180709146762975
Amazon-VideoGames,QuotaGate-RDU,0.9,5,1.0,0.535451990980655,2.677259954903275,0.05120887284398282,0.2560443642199141
Amazon-VideoGames,QuotaGate-RDU,0.9,10,0.8,0.3436488604173064,1.7182443020865321,0.0298975561902633,0.14948778095131654
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.0,0.497051205295138,2.48525602647569,0.04226244487815213,0.21131222439076064
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.2,0.6265904244408012,3.1329521222040055,0.056715282916341675,0.28357641458170824
Amazon-VideoGames,QuotaGate-RDU,0.9,20,1.0,0.47448831610381603,2.37244158051908,0.04973814262140244,0.24869071310701218
Amazon-VideoGames,QuotaGate-RDU,0.95,10,1.0,0.5025106094963848,2.512553047481924,0.04543644428486725,0.22718222142433622
Amazon-VideoGames,QuotaGate-U,0.8,10,1.0,0.5010344355739653,2.5051721778698264,0.048430423685580606,0.242152118427903
Amazon-VideoGames,QuotaGate-U,0.9,5,1.0,0.5366471403837203,2.683235701918602,0.049405494292010375,0.24702747146005188
Amazon-VideoGames,QuotaGate-U,0.9,10,0.8,0.33490346152335404,1.6745173076167703,0.03346992281518935,0.1673496140759467
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,0.492601949069649,2.463009745348245,0.04526210195899108,0.2263105097949553
Amazon-VideoGames,QuotaGate-U,0.9,10,1.2,0.6285813001543283,3.142906500771642,0.04809608037521217,0.24048040187606126
Amazon-VideoGames,QuotaGate-U,0.9,20,1.0,0.47705770364031197,2.38528851820156,0.05323633971225277,0.26618169856126384
Amazon-VideoGames,QuotaGate-U,0.95,10,1.0,0.5056335130520165,2.5281675652600826,0.045303811349142825,0.22651905674571415
Amazon-VideoGames,WBEThreshold,0.8,10,1.0,0.5052858913317323,2.5264294566586614,0.052266562365023674,0.2613328118251182
Amazon-VideoGames,WBEThreshold,0.9,5,1.0,0.5401933106407524,2.7009665532037617,0.052021957514268406,0.26010978757134184
Amazon-VideoGames,WBEThreshold,0.9,10,0.8,0.3557421846501529,1.7787109232507645,0.030717571640815056,0.15358785820407517
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,0.5068191451905295,2.5340957259526475,0.04446824681111559,0.22234123405557796
Amazon-VideoGames,WBEThreshold,0.9,10,1.2,0.6259978460706771,3.1299892303533854,0.0497034541598002,0.24851727079900104
Amazon-VideoGames,WBEThreshold,0.9,20,1.0,0.4794428694620728,2.3972143473103644,0.05488328704538869,0.2744164352269435
Amazon-VideoGames,WBEThreshold,0.95,10,1.0,0.5082292980141938,2.541146490070969,0.041355199970253144,0.20677599985126574
ML-1M,AdaptivePenalty,0.8,10,1.0,0.05683692772475372,0.34301085881888865,0.0014419351385873275,0.00870207856137453
ML-1M,AdaptivePenalty,0.9,5,1.0,0.058773351090944004,0.354697173833847,0.0011909327481004475,0.007187279134786186
ML-1M,AdaptivePenalty,0.9,10,0.8,0.058108028410235615,0.3506819514557719,0.0007352645960091565,0.004437321836915269
ML-1M,AdaptivePenalty,0.9,10,1.0,0.058548112377499684,0.3533378581982106,0.0015390232896223082,0.009288005552870647
ML-1M,AdaptivePenalty,0.9,10,1.2,0.05784559366852662,0.34909815778955816,0.0011383640786979388,0.00687002721494207
ML-1M,AdaptivePenalty,0.9,20,1.0,0.0611056743132594,0.3687727444805205,0.0018887269878694027,0.01139846737179184
ML-1M,AdaptivePenalty,0.95,10,1.0,0.05894407048179477,0.35572746535763144,0.001985880228577468,0.01198478717946501
