dataset,method,tau,k,width_scale,seed,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2025,0.9006,0.0566,0.0566,0.02807601073393515,0.0984,0.13646618559360504,0.9055665863782167,6.03454867246151,0.0
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.0,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.0276094144821167,0.7955104285866023,5.946037297129631,0.08851137533187892
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026944160175323487,0.7955340218573809,5.945933010458946,0.08861566200256377
Amazon-VideoGames,Penalty,0.9,10,1.0,2025,0.9232,0.0568,0.0568,0.02791957253751715,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10897494673728936
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2025,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07973284095525734
Amazon-VideoGames,Primal-Dual,0.9,10,1.0,2025,0.902,0.0566,0.0566,0.02807601073393515,0.0968,0.1384195702791214,0.907288742056489,6.03598250939846,-0.0014338369369504278
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2026,0.9006,0.0566,0.0566,0.02807601073393515,0.0984,0.1362413144826889,0.9053210866004229,6.034247918200493,0.0
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.0,2026,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02738454337120056,0.7952649288088083,5.945736542868614,0.08851137533187892
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,2026,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026719289064407348,0.795288522079587,5.945632256197929,0.08861566200256377
Amazon-VideoGames,Penalty,0.9,10,1.0,2026,0.9232,0.0568,0.0568,0.02791957253751715,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10867419247627286
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2026,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07943208669424084
Amazon-VideoGames,Primal-Dual,0.9,10,1.0,2026,0.902,0.0566,0.0566,0.02807601073393515,0.0968,0.1384195702791214,0.907288742056489,6.03598250939846,-0.0017345911979669282
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2027,0.9006,0.0566,0.0566,0.02807601073393515,0.0984,0.1367369066953659,0.9058255486279726,6.034736699557304,0.0
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.0,2027,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027855990529060362,0.7957436728626489,5.946223281645775,0.08851341791152922
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,2027,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027140564107894897,0.7957152770549059,5.946068487620353,0.08866821193695085
Amazon-VideoGames,Penalty,0.9,10,1.0,2027,0.9232,0.0568,0.0568,0.02791957253751715,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10916297383308393
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2027,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07992086805105192
Amazon-VideoGames,Primal-Dual,0.9,10,1.0,2027,0.902,0.0566,0.0566,0.02807601073393515,0.0968,0.1384195702791214,0.907288742056489,6.03598250939846,-0.0012458098411558538
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2028,0.9006,0.0566,0.0566,0.028053381295382065,0.0982,0.13622962946891784,0.9053086609631776,6.034254747080803,0.0
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.0,2028,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027466074895858766,0.7953664001613855,5.945804089713096,0.08845065736770685
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,2028,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026763856959342955,0.7953658767014742,5.945659028124809,0.08859571895599405
Amazon-VideoGames,Penalty,0.9,10,1.0,2028,0.9232,0.0568,0.0568,0.02791957253751715,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10868102135658297
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2028,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07943891557455096
Amazon-VideoGames,Primal-Dual,0.9,10,1.0,2028,0.902,0.0566,0.0566,0.02807601073393515,0.0968,0.1384195702791214,0.907288742056489,6.03598250939846,-0.0017277623176568113
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2029,0.9006,0.0566,0.0566,0.02807601073393515,0.0984,0.13623298962116243,0.9053106622964143,6.034258212351799,0.0
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.0,2029,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027352073454856872,0.7952287865310907,5.9457447944402695,0.08851341791152922
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,2029,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026636647033691407,0.7952003907233477,5.945590000414849,0.08866821193694996
Amazon-VideoGames,Penalty,0.9,10,1.0,2029,0.9232,0.0568,0.0568,0.02791957253751715,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10868448662757846
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2029,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07944238084554645
Amazon-VideoGames,Primal-Dual,0.9,10,1.0,2029,0.902,0.0566,0.0566,0.02807601073393515,0.0968,0.1384195702791214,0.907288742056489,6.03598250939846,-0.0017242970466613272
ML-1M,QuotaGate-U,0.9,10,1.0,2025,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09743164871582435,0.09991493861934028,1.4954224030822887,10.540675476314416,0.0
ML-1M,QuotaGate-RDU,0.9,10,1.0,2025,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.03452375262111645,0.0975973487986744,0.02272270271377122,1.4149548449381482,10.504558550432485,0.03611692588193094
ML-1M,WBEThreshold,0.9,10,1.0,2025,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.021646628557598687,1.4153050598260184,10.504431570791072,0.03624390552334411
ML-1M,Penalty,0.9,10,1.0,2025,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.020220443801438392
ML-1M,AdaptivePenalty,0.9,10,1.0,2025,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.038352676334714175
ML-1M,Primal-Dual,0.9,10,1.0,2025,0.899751449875725,0.07141673570836786,0.07141673570836786,0.034585581502488166,0.09809444904722453,0.09987705699253795,1.495546075480727,10.540709040909634,-3.3564595218749105e-05
ML-1M,QuotaGate-U,0.9,10,1.0,2026,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09743164871582435,0.1000540041666734,1.4954599156679451,10.540738864604757,0.0
ML-1M,QuotaGate-RDU,0.9,10,1.0,2026,0.9000828500414251,0.07108533554266777,0.07108533554266777,0.03457363331633832,0.0975973487986744,0.0228984670631137,1.4146798740254518,10.504632813770511,0.03610605083424545
ML-1M,WBEThreshold,0.9,10,1.0,2026,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.021818655127815313,1.4154324683048256,10.504493513004585,0.03624535160017217
ML-1M,Penalty,0.9,10,1.0,2026,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.02028383209177953
ML-1M,AdaptivePenalty,0.9,10,1.0,2026,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.03841606462505531
ML-1M,Primal-Dual,0.9,10,1.0,2026,0.899751449875725,0.07141673570836786,0.07141673570836786,0.034585581502488166,0.09809444904722453,0.09987705699253795,1.495546075480727,10.540709040909634,2.982369512238847e-05
ML-1M,QuotaGate-U,0.9,10,1.0,2027,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09743164871582435,0.09990345525860095,1.4953338259777058,10.5407225908281,0.0
ML-1M,QuotaGate-RDU,0.9,10,1.0,2027,0.9000828500414251,0.07108533554266777,0.07108533554266777,0.03457363331633832,0.0975973487986744,0.022747918155041243,1.4145537843352127,10.504616539993854,0.03610605083424545
ML-1M,WBEThreshold,0.9,10,1.0,2027,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.021668106219742855,1.4153063786145865,10.504477239227928,0.03624535160017217
ML-1M,Penalty,0.9,10,1.0,2027,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.020267558315122614
