dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,reward_gap_to_oracle_mean_std
Amazon-VideoGames,AdaptivePenalty,0.8,10,1.0,0.8234,0.05739999999999999,0.05739999999999999,0.028410062077643412,0.1738,0.14295597097873688,0.9003614119559525,6.040100962090492,0.0064689072132107835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002607889985572171
Amazon-VideoGames,AdaptivePenalty,0.9,5,1.0,0.9012,0.0322,0.0322,0.020129984916893783,0.0984,0.029905789327621456,0.3644012345172465,3.218827566790581,0.04863004016041757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010942391542760156
Amazon-VideoGames,AdaptivePenalty,0.9,10,0.8,0.9014,0.05820000000000001,0.05820000000000001,0.028423426079452065,0.0976,0.05451514000892639,0.7156713965460658,5.954115199148655,0.091980891287327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032906913653090944
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,0.9008,0.05800000000000001,0.05800000000000001,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07959341842412951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020487393201864914
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.2,0.901,0.058399999999999994,0.058399999999999994,0.02861872731623919,0.0978,0.056635037302970884,0.719183771519363,5.953279051840306,0.05800709906816444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002454724510310231
Amazon-VideoGames,AdaptivePenalty,0.9,20,1.0,0.9012,0.085,0.085,0.03525592131363163,0.0968,0.10759124126434325,1.410743629604578,10.749039632391929,0.12830693613529293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038867340983702
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.0,0.9494,0.0566,0.0566,0.02773650626550218,0.05,0.017278195357322692,0.6085810061439871,5.855494614207744,0.15464509924650205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010499717502710923
Amazon-VideoGames,Penalty,0.8,10,1.0,0.8,0.0566,0.0566,0.028067426055643403,0.1962,0.17045417346954345,0.9484369886308908,6.049316048502922,-0.0027461791992186234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002607889985572172
Amazon-VideoGames,Penalty,0.9,5,1.0,0.9200000000000002,0.0328,0.0328,0.020144313905400904,0.0796,0.020361711490154265,0.3449390262946486,3.21021108623147,0.05724652071952825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010942391542760156
Amazon-VideoGames,Penalty,0.9,10,0.8,0.9082000000000001,0.05720000000000001,0.05720000000000001,0.028141645926399013,0.0908,0.04725716807842255,0.7056497046142817,5.961285650646687,0.08481043978929481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032906913653090944
Amazon-VideoGames,Penalty,0.9,10,1.0,0.9231999999999999,0.0568,0.0568,0.027919572537517152,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10883552420616152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020487393201864914
Amazon-VideoGames,Penalty,0.9,10,1.2,0.8868,0.0566,0.0566,0.028280642900398816,0.11200000000000002,0.06741891226768494,0.7525111077323556,5.994451021063328,0.016835129845142304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002454724510310223
Amazon-VideoGames,Penalty,0.9,20,1.0,0.8865999999999999,0.0838,0.0838,0.03514589714882096,0.1116,0.13094835319519044,1.4762953644424677,10.818327303028108,0.059019265499114223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003886734098370204
Amazon-VideoGames,Penalty,0.95,10,1.0,0.9231999999999999,0.0568,0.0568,0.027919572537517152,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.08456598773002622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010499717502710845
Amazon-VideoGames,Primal-Dual,0.8,10,1.0,0.8246,0.0568,0.0568,0.0281288127122165,0.1728,0.16610774991512298,0.9417052940756083,6.048287295413017,-0.0017174261093137132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026078899855721714
Amazon-VideoGames,Primal-Dual,0.9,5,1.0,0.9008,0.0312,0.0312,0.019930702547541253,0.0988,0.0814050025343895,0.4709569601356983,3.2678185063183305,-0.00036089936733256777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010942391542760138
Amazon-VideoGames,Primal-Dual,0.9,10,0.8,0.8006,0.0566,0.0566,0.028067426055643403,0.1956,0.15824074122905732,0.9362042657285927,6.047333493494987,-0.0012374030590054375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032906913653090955
Amazon-VideoGames,Primal-Dual,0.9,10,1.0,0.9019999999999999,0.0566,0.0566,0.028076010733935154,0.0968,0.1384195702791214,0.9072887420564889,6.03598250939846,-0.0015732594680782697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002048739320186483
