warmup,comp_dev,proxy_loss,ndcg,wbe,dataset,setting,tuning_object,lambda,compliance,ndcg_drop_vs_quota,proxy_gap_vs_quota,gamma,proxy_utility,lam,eta0,rdu_lambda,wbe_gamma,penalty_lam,adaptive_eta0,pd_eta0
10.0,0.0005999999999999339,-0.000443867111205698,0.03794548740161138,0.13590289614200593,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-U_warmup,,,,,,,,,,,,,
20.0,0.0005999999999999339,0.0,0.03794548740161138,0.13535753021240235,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-U_warmup,,,,,,,,,,,,,
40.0,0.0005999999999999339,0.0015284036159517456,0.03794548740161138,0.13449702563285829,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-U_warmup,,,,,,,,,,,,,
,0.0005999999999999339,,0.03794548740161138,0.13590289614200593,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,0.0,0.9006,0.0,0.0,,,,,,,,,
,0.0005999999999999339,,0.03794548740161138,0.13558747816085814,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,0.01,0.9006,0.0,0.00016374368667548822,,,,,,,,,
,0.0005999999999999339,,0.03794548740161138,0.1357384627342224,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,0.025,0.9006,0.0,-7.076263427752139e-05,,,,,,,,,
,0.00039999999999995595,,0.03794548740161138,0.13550799517631532,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,0.05,0.9004,0.0,-6.984272003141001e-05,,,,,,,,,
,0.00039999999999995595,,0.03794548740161138,0.13536910009384157,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,0.1,0.9004,0.0,-2.0960807800562975e-05,,,,,,,,,
,0.00039999999999995595,,0.03794548740161138,0.13271892704963684,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,0.25,0.9004,0.0,0.00048698363304122694,,,,,,,,,
,0.00039999999999995595,,0.03794548740161138,0.1277694173812866,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,0.5,0.9004,0.0,0.0018574979782099987,,,,,,,,,
,0.00019999999999997797,,0.03794218752768259,0.0931822678565979,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,1.0,0.9002,3.2998739287956602e-06,0.019619240140914762,,,,,,,,,
,0.00019999999999997797,,0.03799972667556544,0.04482151799201965,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,2.0,0.9002,-5.423927395405842e-05,0.061684059381485135,,,,,,,,,
,0.00019999999999997797,,0.038036203623355525,0.02858836410045624,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,4.0,0.9002,-9.071622174414151e-05,0.08460357174873323,,,,,,,,,
,0.00019999999999997797,,0.038036203623355525,0.027379607152938842,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,8.0,0.9002,-9.071622174414151e-05,0.08724725656509413,,,,,,,,,
,0.00019999999999997797,,0.038036203623355525,0.027573710656166078,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,16.0,0.9002,-9.071622174414151e-05,0.08777739515304539,,,,,,,,,
,0.00019999999999997797,,0.038036203623355525,0.027321737337112427,Amazon-VideoGames,main_tau0.9_k10_ws1.0,QuotaGate-RDU_lambda,32.0,0.9002,-9.071622174414151e-05,0.08851137533187892,,,,,,,,,
,0.00019999999999997797,,,0.026656483030319214,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9002,,,16.0,5.945933010458946,,,,,,,
,0.00019999999999997797,,,0.027019210243225098,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9002,,,8.0,5.946619683194161,,,,,,,
,0.00019999999999997797,,,0.027079114961624146,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9002,,,32.0,5.946175822520256,,,,,,,
,0.00019999999999997797,,,0.027515967178344727,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9002,,,4.0,5.947697883820534,,,,,,,
,0.00019999999999997797,,,0.03066365020275116,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9002,,,2.0,5.9534808684587475,,,,,,,
,0.00019999999999997797,,,0.05585809991359711,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9002,,,1.0,5.98608093650341,,,,,,,
,0.00039999999999995595,,,0.10720356426239014,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9004,,,0.5,6.023673899960518,,,,,,,
,0.00039999999999995595,,,0.12946063816547393,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9004,,,0.25,6.033132659840584,,,,,,,
,0.00039999999999995595,,,0.1341753590106964,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9004,,,0.1,6.034302860808372,,,,,,,
,0.00039999999999995595,,,0.13534453821182252,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9004,,,0.05,6.034567829203605,,,,,,,
,0.0005999999999999339,,,0.13573832523822785,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9006,,,0.01,6.034565405440331,,,,,,,
,0.0005999999999999339,,,0.1357384627342224,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9006,,,0.025,6.034619435095787,,,,,,,
,0.0005999999999999339,,,0.13590289614200593,Amazon-VideoGames,main_tau0.9_k10_ws1.0,WBEThreshold_gamma,,0.9006,,,0.0,6.03454867246151,,,,,,,
,0.0232,,,0.034160607743263245,Amazon-VideoGames,main_tau0.9_k10_ws1.0,Penalty_lam,,0.9232,,,,5.92557372572422,1.0,,,,,,
,0.02400000000000002,,,0.07987660467624665,Amazon-VideoGames,main_tau0.9_k10_ws1.0,Penalty_lam,,0.876,,,,6.0094608083605765,0.5,,,,,,
,0.055400000000000005,,,0.1172726729631424,Amazon-VideoGames,main_tau0.9_k10_ws1.0,Penalty_lam,,0.8446,,,,6.037453221106529,0.25,,,,,,
,0.08020000000000005,,,0.14751017649173737,Amazon-VideoGames,main_tau0.9_k10_ws1.0,Penalty_lam,,0.8198,,,,6.047244822525978,0.1,,,,,,
,0.08099999999999996,,,0.003906600952148438,Amazon-VideoGames,main_tau0.9_k10_ws1.0,Penalty_lam,,0.981,,,,5.706442199909687,2.0,,,,,,
,0.09060000000000001,,,0.158734987783432,Amazon-VideoGames,main_tau0.9_k10_ws1.0,Penalty_lam,,0.8094,,,,6.048837230432033,0.05,,,,,,
,0.0958,,,0.16344967787265777,Amazon-VideoGames,main_tau0.9_k10_ws1.0,Penalty_lam,,0.8042,,,,6.04917318764925,0.025,,,,,,
,0.09840000000000004,,,0.16723846793174743,Amazon-VideoGames,main_tau0.9_k10_ws1.0,Penalty_lam,,0.8016,,,,6.049294508886337,0.01,,,,,,
,0.09999999999999998,,,0.1690871327638626,Amazon-VideoGames,main_tau0.9_k10_ws1.0,Penalty_lam,,0.8,,,,6.049316048502922,0.0,,,,,,
,0.09999999999999998,,,0.0,Amazon-VideoGames,main_tau0.9_k10_ws1.0,Penalty_lam,,1.0,,,,5.238728329861164,4.0,,,,,,
