lambda,comp_dev,wbe,ndcg,proxy_utility,u_scale,r_scale,dataset,variant,sev_scale,n_opportunities
0.0,0.0005999999999999339,0.13535753021240235,0.03794548740161138,6.034104805350304,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
0.01,0.00039999999999995595,0.13537846438884735,0.03794548740161138,6.0341326726675035,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
0.025,0.00039999999999995595,0.13537846438884735,0.03794548740161138,6.0341326726675035,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
0.05,0.00039999999999995595,0.1351447612285614,0.03794548740161138,6.034112304282188,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
0.1,0.00039999999999995595,0.1349839124917984,0.03794548740161138,6.034128224253655,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
0.25,0.00039999999999995595,0.13227891523838042,0.03794548740161138,6.033573259663582,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
0.5,0.00039999999999995595,0.12738130066394807,0.03794548740161138,6.0322741897344585,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
1.0,0.00019999999999997797,0.09247206027507782,0.03794218752768259,6.014370806527138,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
2.0,0.00019999999999997797,0.04455958902835846,0.03801359136395076,5.972621300435066,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
4.0,0.00019999999999997797,0.02851571400165558,0.038036203623355525,5.949888584351539,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
8.0,0.00019999999999997797,0.027300771689414978,0.038036203623355525,5.947344208407402,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
16.0,0.00019999999999997797,0.027251897478103637,0.038036203623355525,5.946724886107445,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
32.0,0.00019999999999997797,0.027330338621139528,0.038036203623355525,5.9462018341779705,0.24346427619557245,0.3996504233228729,Amazon-VideoGames,RDU-Old,,
0.0,0.0005999999999999339,0.13535753021240235,0.03794548740161138,6.034104805350304,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
0.01,0.00039999999999995595,0.13537846438884735,0.03794548740161138,6.0341326726675035,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
0.025,0.00039999999999995595,0.13537846438884735,0.03794548740161138,6.0341326726675035,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
0.05,0.0005999999999999339,0.13525583205223082,0.03794548740161138,6.034102567458153,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
0.1,0.00039999999999995595,0.13486871349811555,0.03794548740161138,6.0341119225263595,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
0.25,0.00039999999999995595,0.1318867176771164,0.03794548740161138,6.033341358208657,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
0.5,0.00039999999999995595,0.12707661898136138,0.03794548740161138,6.032064326167107,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
1.0,0.00019999999999997797,0.09284485442638397,0.03793979449381337,6.0152762408018114,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
2.0,0.00019999999999997797,0.04277856457233429,0.03802105311093005,5.971664507937431,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
4.0,0.00019999999999997797,0.028821181797981262,0.03799615298425591,5.950420306134224,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
8.0,0.00019999999999997797,0.027181706619262697,0.038036203623355525,5.947749775528908,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
16.0,0.00019999999999997797,0.026535026717185974,0.038036203623355525,5.946079842352867,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
32.0,0.00019999999999997797,0.026983523178100585,0.038036203623355525,5.946239214682579,0.24346427619557245,,Amazon-VideoGames,RDU-EWBE,0.3927413106320711,1000.0
0.0,8.285004142505326e-05,0.09891320250700009,0.04016174212619313,10.540611937111235,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
0.01,8.285004142505326e-05,0.09877036998562314,0.04016174212619313,10.540615306813162,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
0.025,8.285004142505326e-05,0.0986102914059567,0.04016174212619313,10.540617589310564,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
0.05,8.285004142505326e-05,0.09836225102731978,0.04016174212619313,10.540601995826854,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
0.1,8.285004142505326e-05,0.09772425041577988,0.04016174212619313,10.540574691981053,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
0.25,8.285004142505326e-05,0.09581342902574644,0.04012856015510812,10.540423199354171,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
0.5,8.285004142505326e-05,0.09219987629066348,0.04018971512551882,10.539967280769506,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
1.0,8.285004142505326e-05,0.07201688467814296,0.040109256945091605,10.534613861678155,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
2.0,8.285004142505326e-05,0.03603287449530956,0.040288551253379344,10.517787929715059,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
4.0,8.285004142505326e-05,0.023654482919713546,0.04048970886663822,10.506584650243523,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
8.0,8.285004142505326e-05,0.02273940890706465,0.04053937693697822,10.5053787057619,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
16.0,8.285004142505326e-05,0.022275493466962743,0.04053937693697822,10.504769592790833,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
32.0,8.285004142505326e-05,0.02232075653297406,0.04053937693697822,10.504586547845241,0.10616815090279444,0.3428862355659471,ML-1M,RDU-Old,,
0.0,8.285004142505326e-05,0.09891320250700009,0.04016174212619313,10.540611937111235,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
0.01,8.285004142505326e-05,0.09869575678265186,0.04016174212619313,10.54061055218966,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
0.025,8.285004142505326e-05,0.0986246597302681,0.04016174212619313,10.540607919511265,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
0.05,8.285004142505326e-05,0.09839939604935415,0.04016174212619313,10.540605278141555,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
0.1,8.285004142505326e-05,0.09768604631747899,0.04016174212619313,10.540584006858642,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
0.25,8.285004142505326e-05,0.09518188084663196,0.04012856015510812,10.540407289506586,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
0.5,8.285004142505326e-05,0.09021424073864827,0.040123482173314164,10.539726887602598,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
1.0,8.285004142505326e-05,0.07014802359902574,0.040039233793421385,10.534600012699434,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
2.0,8.285004142505326e-05,0.03455040446568247,0.04019822698792766,10.517905401689708,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
4.0,8.285004142505326e-05,0.02267013436027471,0.040536155681245196,10.506997488032912,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
8.0,8.285004142505326e-05,0.02174220996942023,0.04054150834697334,10.50564695151265,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
16.0,8.285004142505326e-05,0.021518282775752493,0.040600531907388916,10.504860932034902,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
32.0,8.285004142505326e-05,0.021470089432811982,0.040600531907388916,10.504679592957453,0.10616815090279444,,ML-1M,RDU-EWBE,0.310633622064757,1207.0
0.0,0.00019999999999997797,0.041003535959720595,0.04554399270074257,9.814241341876984,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
0.01,0.00019999999999997797,0.040912828681468956,0.04554399270074257,9.814244944477082,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
0.025,0.00019999999999997797,0.040912828681468956,0.04554399270074257,9.814244944477082,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
0.05,0.00019999999999997797,0.04059470146656035,0.04554399270074257,9.814228381252288,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
0.1,0.00019999999999997797,0.040514410994052875,0.04554399270074257,9.814218566989899,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
0.25,0.00019999999999997797,0.0395097463107109,0.045498064287699536,9.814086080932617,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
0.5,0.00019999999999997797,0.0364523521876335,0.045498064287699536,9.813401268196106,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
1.0,0.00019999999999997797,0.02611395458698272,0.04550724193557175,9.808482661247254,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
2.0,0.00019999999999997797,0.013713959090709674,0.04588358380509203,9.797861701202393,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
4.0,0.00019999999999997797,0.009181993033885944,0.04588240314765173,9.79093204908371,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
8.0,0.00019999999999997797,0.008587497754096972,0.04594260914678453,9.789191760253907,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
16.0,0.00019999999999997797,0.008461651368141162,0.04594260914678453,9.788826813030242,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
32.0,0.00019999999999997797,0.008461168379783618,0.04594260914678453,9.788792618465424,0.06745490431885584,0.12406531535189017,ML-20M,RDU-Old,,
0.0,0.00019999999999997797,0.041003535959720595,0.04554399270074257,9.814241341876984,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
0.01,0.00019999999999997797,0.040912828681468956,0.04554399270074257,9.814244944477082,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
0.025,0.00019999999999997797,0.0406268473958969,0.04554399270074257,9.814236629009248,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
0.05,0.00019999999999997797,0.040557164440155016,0.04554399270074257,9.814228110218048,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
0.1,0.00019999999999997797,0.04030864610433577,0.04554399270074257,9.8142186003685,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
0.25,0.00019999999999997797,0.039308938012123096,0.045498064287699536,9.814091975593566,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
0.5,0.00019999999999997797,0.03636814105033873,0.045495177311475184,9.81346448097229,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
1.0,0.00019999999999997797,0.026167728300094586,0.04561183242781009,9.808961075210572,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
2.0,0.00019999999999997797,0.01344056440591811,0.04592620705605575,9.79841179113388,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
4.0,0.00019999999999997797,0.008815758383274063,0.045891006350196946,9.791514103412629,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
8.0,0.00019999999999997797,0.00820675628662108,0.04596224778761855,9.78976340379715,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
16.0,0.00019999999999997797,0.008059908840656268,0.04596224778761855,9.789432963085174,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
32.0,0.00019999999999997797,0.008051686618328082,0.04602245378675135,9.789052284049987,0.06745490431885584,,ML-20M,RDU-EWBE,0.11934311969328454,1000.0
