dataset,method,tau,k,width_scale,ms_per_user,sec_total,ms_per_user_std,sec_total_std
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,0.15050939147671064,0.7525469573835532,0.0008176841575399279,0.0040884207876995616
Amazon-VideoGames,Penalty,0.9,10,1.0,0.14291360676288603,0.7145680338144302,0.001738894043317781,0.008694470216588913
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.0,0.574254914931953,2.8712745746597648,0.0009061281484788247,0.004530640742393908
Amazon-VideoGames,QuotaGate-RDU-Old,0.9,10,1.0,0.5376868818576138,2.6884344092880688,0.0026236038211196904,0.013118019105598448
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,0.5359341548755765,2.6796707743778825,0.0032291780938157643,0.016145890469078824
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,0.5360029625395933,2.680014812697967,0.003728284733110446,0.018641423665552114
ML-1M,AdaptivePenalty,0.9,10,1.0,0.060327671256324794,0.36407749603192013,0.0027588757952232766,0.01664981542417245
ML-1M,Penalty,0.9,10,1.0,0.05700333870574934,0.34401514908919734,0.002624053270916882,0.015836161489983385
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.0,0.2571887181065123,1.5521339137728016,0.007801958684284159,0.04708482065965491
ML-1M,QuotaGate-RDU-Old,0.9,10,1.0,0.21503066329773668,1.2977100530018408,0.01128802739773654,0.06812324534533991
ML-1M,QuotaGate-U,0.9,10,1.0,0.21462931064438737,1.2952878897388775,0.007647374247823208,0.04615190358561307
ML-1M,WBEThreshold,0.9,10,1.0,0.2159640876366943,1.3033432688874502,0.010469872054271537,0.0631856778475286
ML-20M,AdaptivePenalty,0.9,10,1.0,0.17424079983805618,0.8712039991902808,0.0011928880457697283,0.0059644402288486185
ML-20M,Penalty,0.9,10,1.0,0.16715103574097157,0.8357551787048578,0.0012003105741105462,0.006001552870552764
ML-20M,QuotaGate-RDU-EWBE,0.9,10,1.0,0.645812182718267,3.229060913591335,0.0008009409545800655,0.004004704772900202
ML-20M,QuotaGate-RDU-Old,0.9,10,1.0,0.6036917339699963,3.018458669849982,0.0025858689662873915,0.012929344831437156
ML-20M,QuotaGate-U,0.9,10,1.0,0.6071454150912662,3.035727075456331,0.0022209907288066777,0.011104953644033081
ML-20M,WBEThreshold,0.9,10,1.0,0.6056979678260784,3.028489839130392,0.0031533909264486342,0.015766954632243497
