dataset,comparison,metric,delta_mean,ci_low,ci_high,significant
Amazon-VideoGames,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,weighted_bad_exposure,0.0008026586771011353,-8.518404682477312e-05,0.0018685240528980881,False
Amazon-VideoGames,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,compliant,0.0,-0.0011333333333333334,0.0012666666666666666,False
Amazon-VideoGames,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,ndcg,0.0,0.0,0.0,False
Amazon-VideoGames,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,proxy_utility,-0.0007649857521057129,-0.0018322962919871011,0.00012029735644658381,False
Amazon-VideoGames,QuotaGate-RDU-EWBE vs WBEThreshold,weighted_bad_exposure,0.00012428521315256756,-0.0002597671111424764,0.0006801810445388153,False
Amazon-VideoGames,QuotaGate-RDU-EWBE vs WBEThreshold,compliant,0.0,-0.0005016666666666665,0.0005333333333333334,False
Amazon-VideoGames,QuotaGate-RDU-EWBE vs WBEThreshold,ndcg,0.0,0.0,0.0,False
Amazon-VideoGames,QuotaGate-RDU-EWBE vs WBEThreshold,proxy_utility,2.9177570343017577e-05,-0.0004914179356892903,0.0004634839113553364,False
ML-1M,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,weighted_bad_exposure,0.0010684151584948668,0.0003715277174433697,0.0016911256184271113,True
ML-1M,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,compliant,0.0,-0.0016017674675504003,0.001436067384700359,False
ML-1M,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,ndcg,-3.9029884410386006e-05,-9.993791155042153e-05,8.30496435890624e-06,False
ML-1M,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,proxy_utility,-9.336979867871444e-05,-0.0003513545826698857,0.0001899621131768446,False
ML-1M,QuotaGate-RDU-EWBE vs WBEThreshold,weighted_bad_exposure,4.958474349659538e-06,-0.00024336949727443727,0.0002444441826822217,False
ML-1M,QuotaGate-RDU-EWBE vs WBEThreshold,compliant,0.0,-0.0005260977630488815,0.0004971002485501243,False
ML-1M,QuotaGate-RDU-EWBE vs WBEThreshold,ndcg,0.0,0.0,0.0,False
ML-1M,QuotaGate-RDU-EWBE vs WBEThreshold,proxy_utility,2.7247009867299694e-05,-3.030716270019059e-05,8.612392818489905e-05,False
ML-20M,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,weighted_bad_exposure,0.0005569424494107564,0.0001825870594183606,0.0009061666466196374,True
ML-20M,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,compliant,0.0,-0.0020666666666666667,0.0020349999999999986,False
ML-20M,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,ndcg,0.0001,0.0,0.00023333333333333333,False
ML-20M,QuotaGate-RDU-EWBE vs QuotaGate-RDU-Old,proxy_utility,0.00022156858444213868,-6.144825379053751e-05,0.0005427738277117409,False
ML-20M,QuotaGate-RDU-EWBE vs WBEThreshold,weighted_bad_exposure,-8.034618695576985e-06,-9.700767662127805e-05,6.828052441279086e-05,False
ML-20M,QuotaGate-RDU-EWBE vs WBEThreshold,compliant,0.0,-0.0005333333333333334,0.0005333333333333334,False
ML-20M,QuotaGate-RDU-EWBE vs WBEThreshold,ndcg,0.0,0.0,0.0,False
ML-20M,QuotaGate-RDU-EWBE vs WBEThreshold,proxy_utility,-5.531492233276367e-05,-0.00011960605223973593,6.148672103881557e-07,False
