dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,proxy_gap_vs_quota_u_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,proxy_gap_vs_quota_u_mean_std
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,0.9007999999999999,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.7183437998682262,5.954815831506252,0.07928882696231228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029955921489642273
Amazon-VideoGames,Penalty,0.9,10,1.0,0.9232,0.056799999999999996,0.056799999999999996,0.02791957253751715,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10853093274434429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029955921489642273
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.0,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02703611589272817,0.7956200135658186,5.946053688677151,0.08805096979141276,0.0,0.0,0.0,0.0,0.0,0.00038554158755600075,0.00040127867690188717,0.0003393261489512024,4.5045088508375853e-05
Amazon-VideoGames,QuotaGate-RDU-Old,0.9,10,1.0,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027838774569829305,0.7957149014463027,5.946818674429257,0.08728598403930683,0.0,0.0,0.0,0.0,0.0,0.0003333212906291753,0.0003450528766463159,0.00017823870148913883,0.0001627005451717386
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,0.9006,0.056600000000000004,0.056600000000000004,0.02806846758775079,0.09833333333333333,0.13614514723618823,0.9052329827815294,6.034104658468564,0.0,0.0,0.0,0.0,1.3065112440234247e-05,0.00011547005383792945,0.0003884416381512864,0.0004090896072543172,0.0002995592148961991,0.0
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02716040110588074,0.7957488366554181,5.946024511106809,0.08808014736175569,0.0,0.0,0.0,0.0,0.0,0.0003414075396390856,0.0003523781750287846,0.00021397574842151458,0.0004124099765649099
ML-1M,AdaptivePenalty,0.9,10,1.0,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.03833388644863511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10433001605426e-05
ML-1M,Penalty,0.9,10,1.0,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.059791361651543064,1.3354794396197096,10.520455032512977,0.02020165391535933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10433001605426e-05
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.0,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.0971554819110743,0.0221297804751603,1.4158410516032294,10.504727232268555,0.0359294541597824,0.0,0.0,0.0,0.0,9.566698743821223e-05,0.00017784042533359025,0.00015514404816559376,4.3975980304508825e-05,3.0299799023956672e-06
ML-1M,QuotaGate-RDU-Old,0.9,10,1.0,0.9000828500414251,0.07108533554266777,0.07108533554266777,0.03457363331633832,0.09765258215962441,0.02319819563365517,1.4150714461154388,10.504820602067232,0.035836084361103936,0.0,0.0,0.0,0.0,9.566698743821223e-05,0.0001781216966501454,0.00015932992380495234,4.459437878988279e-05,9.186820604369139e-06
