dataset,method,tau,k,width_scale,ms_per_user,sec_total,ms_per_user_std,sec_total_std
Amazon-VideoGames,AdaptivePenalty,0.9,10,0.8,0.14917250918224453,0.7458625459112227,0.0007289648419444029,0.0036448242097220003
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,0.1496046124957502,0.7480230624787509,0.0008934058976602533,0.004467029488301245
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.2,0.14960196393852432,0.7480098196926216,0.0015269432087912022,0.007634716043956003
Amazon-VideoGames,AdaptivePenalty,0.95,10,0.8,0.1505867180104057,0.7529335900520285,0.0003441726567778779,0.0017208632838894612
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.0,0.1506498004309833,0.7532490021549165,0.0022937388959769567,0.011468694479884727
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.2,0.15099766881515583,0.7549883440757791,0.000573542102289282,0.002867710511446379
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,0.8,0.3891178789238135,1.9455893946190674,0.0014876707707110496,0.007438353853555257
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.0,0.5632801002822817,2.816400501411408,0.005077058437252452,0.02538529218626237
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.2,0.7373945435509085,3.686972717754543,0.0018601892139581697,0.009300946069790861
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,0.8,0.38769473433494567,1.9384736716747284,0.0005845732634661257,0.002922866317330625
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,1.0,0.5663415880252918,2.8317079401264587,0.004426906767903869,0.02213453383951922
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,1.2,0.7318614066268007,3.6593070331340036,0.002487366429891053,0.012436832149455202
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,0.5675775729119777,2.837887864559889,0.0005148575728904586,0.00257428786445197
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,0.5689920289441943,2.8449601447209716,0.0019891906996533214,0.009945953498266798
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,0.5666880491189659,2.8334402455948293,0.002435750728155132,0.01217875364077578
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,0.5666179671262701,2.8330898356313505,0.0010106688766110862,0.005053344383055556
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,0.5665506602264941,2.8327533011324704,0.005959206061575729,0.02979603030787876
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,1.2,0.5655975340555112,2.827987670277556,0.001271295400268924,0.006356477001344665
Amazon-VideoGames,QuotaGate-U,0.9,10,0.8,0.36367876588677367,1.8183938294338684,0.00261023389182437,0.013051169459121749
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,0.5286683212034404,2.643341606017202,0.0029693805694050402,0.014846902847025055
Amazon-VideoGames,QuotaGate-U,0.9,10,1.2,0.6837934360528987,3.418967180264493,0.002190622152227295,0.010953110761136703
Amazon-VideoGames,QuotaGate-U,0.95,10,0.8,0.3647744184670349,1.8238720923351746,0.002138338355732065,0.010691691778660441
Amazon-VideoGames,QuotaGate-U,0.95,10,1.0,0.5259802506926159,2.6299012534630797,0.0022955894259602174,0.011477947129801049
Amazon-VideoGames,QuotaGate-U,0.95,10,1.2,0.6837275399516026,3.4186376997580132,0.004996851168216776,0.024984255841083963
ML-1M,AdaptivePenalty,0.9,10,0.8,0.06000220449474167,0.362113304125766,0.0011332623588230484,0.006839238335497097
ML-1M,AdaptivePenalty,0.9,10,1.0,0.06155670823432141,0.3714947341941297,0.0027166627837267032,0.016395059899790655
ML-1M,AdaptivePenalty,0.9,10,1.2,0.060771429873704576,0.36675557928780717,0.001693633986851342,0.010221081110647852
ML-1M,AdaptivePenalty,0.95,10,0.8,0.06013323337629795,0.36290406342595816,0.001030734257837345,0.006220481246048395
ML-1M,AdaptivePenalty,0.95,10,1.0,0.05864389040125434,0.3539158785715699,0.000677142100802356,0.004086552578342216
ML-1M,AdaptivePenalty,0.95,10,1.2,0.06020457834392185,0.3633346303055684,0.002216117935937709,0.013374271743384085
ML-1M,QuotaGate-RDU-EWBE,0.9,10,0.8,0.13932396637960484,0.8408201371009151,0.0012758067755916462,0.007699493890695529
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.0,0.25490518917582433,1.5383528166761,0.002196995570639595,0.013258868268809974
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.2,0.3811633475927301,2.3003208027221262,0.005181228808965617,0.03126871586210759
ML-1M,QuotaGate-RDU-EWBE,0.95,10,0.8,0.13861647986844738,0.8365504560060799,0.002246972686016456,0.013560480160109299
