dataset,method,tau,k,width_scale,seed,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,proxy_gap_vs_quota_u_mean
Amazon-VideoGames,QuotaGate-U,0.9,10,0.8,2025,0.8004,0.0566,0.0566,0.028067426055643403,0.1958,0.15830394904613496,0.9362685249000787,6.046440585827828,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,0.8,2025,0.8014,0.0566,0.0566,0.028073555179668704,0.1948,0.1094302048921585,0.8872771462589503,6.014753283715248,0.031687302112579196
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026822703862190246,0.7953955209761858,5.946079842352867,0.10036074347496093
Amazon-VideoGames,AdaptivePenalty,0.9,10,0.8,2025,0.9014,0.0582,0.0582,0.028423426079452065,0.0976,0.05451514000892639,0.7156713965460658,5.954115199148655,0.0923253866791729
Amazon-VideoGames,QuotaGate-U,0.9,10,0.8,2026,0.8004,0.0566,0.0566,0.028067426055643403,0.1958,0.15774784979820253,0.9357124256521463,6.045863261866569,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,0.8,2026,0.8014,0.0566,0.0566,0.028073555179668704,0.1948,0.10973280398845672,0.8875797453552484,6.014594445967674,0.031268815898894964
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,2026,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026804467368125917,0.7953812229901552,5.945702042460441,0.10016121940612788
Amazon-VideoGames,AdaptivePenalty,0.9,10,0.8,2026,0.9014,0.0582,0.0582,0.028423426079452065,0.0976,0.05451514000892639,0.7156713965460658,5.954115199148655,0.09174806271791436
Amazon-VideoGames,QuotaGate-U,0.9,10,0.8,2027,0.8004,0.0566,0.0566,0.028067426055643403,0.1958,0.1583687925338745,0.9363333683878183,6.0464709349870684,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,0.8,2027,0.8014,0.0566,0.0566,0.028073555179668704,0.1948,0.10969775426387787,0.8875446956306696,6.015001566624641,0.0314693683624272
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,2027,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027481176447868346,0.7960832967311144,5.9463791812181475,0.10009175376892099
Amazon-VideoGames,AdaptivePenalty,0.9,10,0.8,2027,0.9014,0.0582,0.0582,0.028423426079452065,0.0976,0.05451514000892639,0.7156713965460658,5.954115199148655,0.09235573583841372
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2025,0.9006,0.0566,0.0566,0.02807601073393515,0.0984,0.13593492126464843,0.9050170212298632,6.034104805350304,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.0,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026822703862190246,0.7953955209761858,5.946079842352867,0.08802496299743723
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026822703862190246,0.7953955209761858,5.946079842352867,0.08802496299743723
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2025,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07928897384405165
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2026,0.9006,0.0566,0.0566,0.028053381295382065,0.0982,0.13590712659358978,0.9049771301299333,6.033805025839806,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.0,2026,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026804467368125917,0.7953812229901552,5.945702042460441,0.08810298337936473
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,2026,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026804467368125917,0.7953812229901552,5.945702042460441,0.08810298337936473
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2026,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07898919433355367
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2027,0.9006,0.0566,0.0566,0.02807601073393515,0.0984,0.13659339385032654,0.9057047969847918,6.034404144215584,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.0,2027,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027481176447868346,0.7960832967311144,5.9463791812181475,0.08802496299743634
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,2027,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027481176447868346,0.7960832967311144,5.9463791812181475,0.08802496299743634
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2027,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07958831270933153
Amazon-VideoGames,QuotaGate-U,0.9,10,1.2,2025,0.9026,0.057,0.057,0.02836486487130436,0.0962,0.13361712927818298,0.8658352598696947,6.010891298460961,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.2,2025,0.9704,0.0572,0.0572,0.028616958111774476,0.029,0.00305299174785614,0.7256699464827776,5.877356917023659,0.13353438143730223
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026822703862190246,0.7953955209761858,5.946079842352867,0.06481145610809413
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.2,2025,0.9012,0.0578,0.0578,0.028557605999968882,0.0976,0.05546838254928589,0.7168428670987487,5.951285093986988,0.05960620447397247
Amazon-VideoGames,QuotaGate-U,0.9,10,1.2,2026,0.9022,0.057,0.057,0.02836486487130436,0.0966,0.13367414643764497,0.865931306412816,6.010806345915794,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.2,2026,0.97,0.0572,0.0572,0.028616958111774476,0.0294,0.0028590519905090333,0.7254894318372012,5.877030848526955,0.13377549738883943
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,2026,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026804467368125917,0.7953812229901552,5.945702042460441,0.06510430345535312
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.2,2026,0.9012,0.0578,0.0578,0.028557605999968882,0.0976,0.05546838254928589,0.7168428670987487,5.951285093986988,0.059521251928805974
Amazon-VideoGames,QuotaGate-U,0.9,10,1.2,2027,0.9024,0.057,0.057,0.02836486487130436,0.0964,0.13428652682304382,0.8665191834479571,6.011766168475151,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.2,2027,0.9702,0.0572,0.0572,0.028616958111774476,0.0292,0.0037420080423355103,0.726389874175191,5.878321116948127,0.13344505152702357
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,2027,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027481176447868346,0.7960832967311144,5.9463791812181475,0.06538698725700343
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.2,2027,0.9012,0.0578,0.0578,0.028557605999968882,0.0976,0.05546838254928589,0.7168428670987487,5.951285093986988,0.060481074488162534
Amazon-VideoGames,QuotaGate-U,0.95,10,0.8,2025,0.802,0.0566,0.0566,0.028126532441986592,0.1942,0.13116742358207703,0.90896967844069,6.03658223426342,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,0.8,2025,0.8028,0.0566,0.0566,0.028059277593578947,0.1934,0.061708831334114075,0.8394003960758447,5.989329722428322,0.047252511835098154
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,2025,0.95,0.057,0.057,0.028340977715073438,0.048,0.005473167586326599,0.7689128013759852,5.932164378762245,0.10441785550117544
Amazon-VideoGames,AdaptivePenalty,0.95,10,0.8,2025,0.9386,0.057,0.057,0.027817225430716786,0.0606,0.024265985441207887,0.636434220418334,5.891328107774258,0.1452541264891627
