dataset,tau,width_scale,comparison,metric,delta_mean,ci_low,ci_high,significant
Amazon-VideoGames,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.08258413848876953,0.07791935317794482,0.08785787444154422,True
Amazon-VideoGames,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.0988,0.09435833333333334,0.103835,True
Amazon-VideoGames,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,-3.468429620482903e-05,-0.0001445984504966595,5.3525753621567894e-05,False
Amazon-VideoGames,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,-0.06872941009203593,-0.07348307310144106,-0.06476623373190563,True
Amazon-VideoGames,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.0,0.0,0.0,False
Amazon-VideoGames,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.0,0.0,0.0,False
Amazon-VideoGames,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.0,0.0,0.0,False
Amazon-VideoGames,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.0,0.0,0.0,False
Amazon-VideoGames,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,-0.023818098632494608,-0.025667904853423438,-0.021918278308113416,True
Amazon-VideoGames,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,-0.07,-0.07427333333333333,-0.06573333333333334,True
Amazon-VideoGames,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,-0.000578087228310597,-0.0008575302749261441,-0.00030415019049144396,True
Amazon-VideoGames,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.06848406117757161,0.06549689407030741,0.07171247424721718,True
Amazon-VideoGames,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.05611406484444936,0.053448986194531124,0.05884598820626736,True
Amazon-VideoGames,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.14726666666666666,0.14185666666666666,0.1526,True
Amazon-VideoGames,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.0002817001214944952,6.057036006244742e-05,0.0005016941883979365,True
Amazon-VideoGames,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,-0.05722463574409485,-0.060301992665529255,-0.054183317537705104,True
Amazon-VideoGames,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.0,0.0,0.0,False
Amazon-VideoGames,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.0,0.0,0.0,False
Amazon-VideoGames,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.0,0.0,0.0,False
Amazon-VideoGames,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.0,0.0,0.0,False
Amazon-VideoGames,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,-0.005142826461791992,-0.0057275756265719735,-0.004360825764934222,True
Amazon-VideoGames,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,-0.049666666666666665,-0.05320333333333333,-0.0462,True
Amazon-VideoGames,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,-0.0003872724732222526,-0.0005643347846393915,-0.00020980371451279176,True
Amazon-VideoGames,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.06329983684221903,0.060948715918858844,0.06581724492907524,True
ML-1M,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.10453882188172804,0.09931857743147363,0.10964880430122266,True
ML-1M,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.10008285004142502,0.09613228389947528,0.10455951394642364,True
ML-1M,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.00023807536090081767,1.1616875905434972e-05,0.0004681423344820794,True
ML-1M,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,-0.04122195016017641,-0.0436411970802777,-0.03885778359832174,True
ML-1M,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.0,0.0,0.0,False
ML-1M,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.0,0.0,0.0,False
ML-1M,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.0,0.0,0.0,False
ML-1M,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.0,0.0,0.0,False
ML-1M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,-0.021658856742983207,-0.022735659474531163,-0.020493133936755347,True
ML-1M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,-0.09908864954432477,-0.10351008008837338,-0.09447528307097487,True
ML-1M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,-0.0005125424614517668,-0.0008006271314886059,-0.00024174973778438166,True
ML-1M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.051296216300494496,0.0496235819305382,0.05295057921869193,True
ML-1M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.07667734314677006,0.07381143332706307,0.07981543848271595,True
ML-1M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.1496271748135874,0.14498481082573875,0.15506904170118752,True
ML-1M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.00022464593422415118,-5.969470114351118e-06,0.00044484698878328733,False
ML-1M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,-0.033830990721526906,-0.03534740833905611,-0.032317146111904206,True
ML-1M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.0,0.0,0.0,False
ML-1M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.0,0.0,0.0,False
ML-1M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.0,0.0,0.0,False
ML-1M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.0,0.0,0.0,False
ML-1M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,-0.005407077983676059,-0.005971352059747005,-0.004897313859047271,True
ML-1M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,-0.049489091411212376,-0.05302954984810826,-0.046064623032311514,True
ML-1M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,-0.0004203463976604172,-0.0007211876716900829,-0.00012154960303014051,True
ML-1M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.0509972159094127,0.04939486832883403,0.05254901633543126,True
ML-20M,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.043587777037620526,0.04106693638656536,0.04637173028045891,True
ML-20M,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.1002,0.09559666666666666,0.104905,True
