dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,proxy_gap_vs_quota_u_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,proxy_gap_vs_quota_u_mean_std
Amazon-VideoGames,AdaptivePenalty,0.9,10,0.8,0.9014000000000001,0.0582,0.0582,0.028423426079452068,0.0976,0.0545151400089264,0.7156713965460658,5.954115199148656,0.092143061745167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003424155976507938
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,0.9007999999999999,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.7183437998682262,5.954815831506252,0.07928882696231228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029955921489642273
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.2,0.9011999999999999,0.0578,0.0578,0.028557605999968882,0.0976,0.0554683825492859,0.7168428670987487,5.951285093986988,0.05986951029698032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005313306914576167
Amazon-VideoGames,AdaptivePenalty,0.95,10,0.8,0.9386,0.057,0.057,0.027817225430716786,0.06060000000000001,0.024265985441207883,0.636434220418334,5.891328107774258,0.1452827791253727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.017004636535703e-05
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.0,0.9494000000000001,0.056600000000000004,0.056600000000000004,0.02773650626550218,0.05000000000000001,0.017278195357322692,0.6085810061439871,5.855494614207745,0.15453949766556452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002210691048475037
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.2,0.9584,0.0554,0.0554,0.027345700874663374,0.0412,0.013935405230522157,0.5946546431183815,5.8344906432151795,0.13514714620113347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005518788513148138
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,0.8,0.8014,0.056600000000000004,0.056600000000000004,0.028073555179668707,0.1948,0.1096202543814977,0.8874671957482895,6.014783098769189,0.03147516212463378,0.0,0.0,0.0,0.0,0.0,0.0001655180567093164,0.00016551805670928868,0.00020519139946257992,0.00020930325731177997
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.0,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02703611589272817,0.7956200135658186,5.946053688677151,0.08805096979141276,0.0,0.0,0.0,0.0,0.0,0.00038554158755600075,0.00040127867690188717,0.0003393261489512024,4.5045088508375853e-05
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.2,0.9702000000000001,0.0572,0.0572,0.028616958111774476,0.0292,0.003218017260233561,0.7258497508317232,5.87756962749958,0.1335849767843884,0.00020000000000000573,0.0,0.0,0.0,0.0001999999999999988,0.0004640343868355263,0.0004763888159224296,0.0006709191155374445,0.00017093429661096035
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,0.8,0.8027333333333333,0.056600000000000004,0.056600000000000004,0.028059277593578947,0.19346666666666668,0.06167418464819591,0.8393718235005935,5.989293597404163,0.047317289495468096,0.00011547005383791243,0.0,0.0,0.0,0.00011547005383792845,0.00015905353876105588,0.000149153457537673,0.00025875474693726116,0.0001992795123027064
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,1.0,0.9499999999999998,0.057,0.057,0.028340977715073438,0.04800000000000001,0.005560119803746541,0.7689726708640655,5.932068961660067,0.07796515021324169,0.0,0.0,0.0,0.0,0.0,0.0003613396028570551,0.00032446428120124214,0.00027779159320343906,0.00043091152872569774
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,1.2,0.9996666666666667,0.0574,0.0574,0.028728250188295692,0.0003333333333333333,0.0004172933419545491,0.7082571739067633,5.868769124817848,0.10086866459846504,0.0004163331998932584,0.0,0.0,0.0,0.00041633319989322655,0.000710595906740916,0.0007431499946842472,0.0009624626387874328,0.0005880696744667102
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02703611589272817,0.7956200135658186,5.946053688677151,0.10020457221666994,0.0,0.0,0.0,0.0,0.0,0.00038554158755600075,0.00040127867690188717,0.0003393261489512024,0.00013963690459647865
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02703611589272817,0.7956200135658186,5.946053688677151,0.08805096979141276,0.0,0.0,0.0,0.0,0.0,0.00038554158755600075,0.00040127867690188717,0.0003393261489512024,4.5045088508375853e-05
