dataset,method,cand_n,B,target_tau,highrisk_threshold,compliance_mean,hit_mean,recall_mean,ndcg_mean,served_risk_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,highrisk_compliance_mean,highrisk_hit_mean,highrisk_ndcg_mean,highrisk_bad_exposure_rate,highrisk_weighted_bad_exposure_mean,highrisk_risk_weighted_miss_mean,alpha
Amazon-VideoGames,OCQuota(alpha=0.0),17286,0.0,0.9,1.4568411111831665,0.9002,0.0014,0.0014,0.0006734706147793469,0.2098192636847496,0.0984,0.20799942182302475,0.20799942182302475,0.702,0.001,0.0003010299956639812,0.297,0.8718736001253128,0.8718736001253128,0.0
Amazon-VideoGames,OCQuota(alpha=0.05),17286,0.0,0.9,1.4568411111831665,0.9002,0.0014,0.0014,0.0006734706147793469,0.2080861646413803,0.0984,0.20626632277965545,0.20626632277965545,0.707,0.001,0.0003010299956639812,0.292,0.860625039100647,0.860625039100647,0.05
Amazon-VideoGames,OCQuota(alpha=0.1),17286,0.0,0.9,1.4568411111831665,0.9002,0.0014,0.0014,0.0006734706147793469,0.20551490401625633,0.0984,0.20369506215453148,0.20369506215453148,0.713,0.001,0.0003010299956639812,0.286,0.8425125616788864,0.8425125616788864,0.1
Amazon-VideoGames,OCQuota(alpha=0.25),17286,0.0,0.9,1.4568411111831665,0.9002,0.0016,0.0016,0.000773470614779347,0.20002730370163918,0.0982,0.19809468062520028,0.19809468062520028,0.727,0.001,0.0003010299956639812,0.272,0.8032084453105927,0.8032084453105927,0.25
Amazon-VideoGames,OCQuota(alpha=0.5),17286,0.0,0.9,1.4568411111831665,0.9002,0.0022,0.0022,0.0009805118670147487,0.1915847417294979,0.0976,0.1894017064332962,0.1894017064332962,0.75,0.001,0.0003010299956639812,0.249,0.7454652429819107,0.7454652429819107,0.5
Amazon-VideoGames,OCQuota(alpha=1.0),17286,0.0,0.9,1.4568411111831665,0.9002,0.0034,0.0034,0.0015082913728737839,0.16801981007158756,0.0964,0.1657764667481184,0.1657764667481184,0.806,0.0,0.0,0.194,0.5992963804006577,0.5992963804006577,1.0
Amazon-VideoGames,OCQuota(alpha=2.0),17286,0.0,0.9,1.4568411111831665,0.9002,0.0056,0.0056,0.0023320490801982084,0.12823401919007302,0.0942,0.1250097793996334,0.1250097793996334,0.885,0.0,0.0,0.115,0.36975156497955325,0.36975156497955325,2.0
Amazon-VideoGames,OCQuota(alpha=4.0),17286,0.0,0.9,1.4568411111831665,0.9002,0.0076,0.0076,0.0032157384753935675,0.07274405817389488,0.0922,0.06885065005421638,0.06885065005421638,0.977,0.0,0.0,0.023,0.09493629217147827,0.09493629217147827,4.0
Amazon-VideoGames,OCQuota(alpha=8.0),17286,0.0,0.9,1.4568411111831665,0.9002,0.01,0.01,0.00463650967895727,0.04239775850474834,0.09,0.03890758282542229,0.03890758282542229,0.999,0.001,0.0005,0.001,0.003159263849258423,0.003159263849258423,8.0
Amazon-VideoGames,OCQuota(alpha=16.0),17286,0.0,0.9,1.4568411111831665,0.9002,0.0138,0.0138,0.006914757046533856,0.03373575745820999,0.0862,0.02963699481636286,0.02963699481636286,0.999,0.001,0.0005,0.001,0.003159263849258423,0.003159263849258423,16.0
