dataset,method,cand_n,B,target_tau,highrisk_threshold,B_table,B_record,B_source,compliance_mean,hit_mean,recall_mean,ndcg_mean,served_risk_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,highrisk_compliance_mean,highrisk_hit_mean,highrisk_ndcg_mean,highrisk_bad_exposure_rate,highrisk_weighted_bad_exposure_mean,highrisk_risk_weighted_miss_mean,reward_gap_to_oracle_mean,alpha
ML-20M,OC-Quota(alpha=0.0),20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.0972,0.0972,0.04554399270074257,0.6930342493653298,0.0966,0.04138500942945479,0.6392088400587439,0.501,0.047,0.020037912360139586,0.483,0.20692504714727392,1.0975364391207696,0.0002097927093505092,0.0
ML-20M,OC-Quota(alpha=0.05),20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.0972,0.0972,0.04554399270074257,0.6923129290819168,0.0966,0.04057541055440901,0.638487519775331,0.501,0.047,0.020037912360139586,0.483,0.20287705277204504,1.0939298377037048,0.0002488962173465836,0.05
ML-20M,OC-Quota(alpha=0.1),20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.097,0.097,0.045498064287699536,0.6917942082166672,0.0964,0.04003126706123351,0.6381335860714317,0.501,0.046,0.019808270294924414,0.482,0.2001563353061675,1.092160169184208,0.0003061414718636968,0.1
ML-20M,OC-Quota(alpha=0.25),20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.097,0.097,0.045492348061378675,0.6891593406558036,0.0964,0.03721142530679701,0.6355739313825965,0.501,0.046,0.0197796891633201,0.482,0.18605712653398507,1.0793618957400322,0.0010219120979311214,0.25
ML-20M,OC-Quota(alpha=0.5),20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.0972,0.0972,0.04566531153906774,0.6815240588188172,0.0952,0.029412599666118602,0.6276763686880469,0.501,0.047,0.02064450655176541,0.476,0.14706299833059303,1.0398740822672843,0.0044490429878241144,0.5
ML-20M,OC-Quota(alpha=1.0),20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.097,0.097,0.04565213636853764,0.6707534122943878,0.0954,0.01909616555213927,0.6173411460980773,0.501,0.046,0.020578630699114902,0.477,0.09548082776069634,0.9881979693174362,0.011913776969910472,1.0
ML-20M,OC-Quota(alpha=2.0),20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.0972,0.0972,0.04576870845515242,0.6620131496429443,0.095,0.011206297373771655,0.6085135816320777,0.501,0.047,0.021161491132188834,0.475,0.056031486868858275,0.9440601469874382,0.0203575795173645,2.0
ML-20M,OC-Quota(alpha=4.0),20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.0972,0.0972,0.04576870845515242,0.6599126504540443,0.095,0.009092003512382495,0.6064130824431777,0.501,0.047,0.021161491132188834,0.475,0.04546001756191247,0.9335576510429382,0.02286946039199833,4.0
ML-20M,OC-Quota(alpha=8.0),20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.0972,0.0972,0.045783602329345495,0.6585010301470756,0.0948,0.008236368529796588,0.6053621774420143,0.501,0.047,0.021235960503154204,0.474,0.04118184264898293,0.9283031260371208,0.025069210052491187,8.0
ML-20M,OC-Quota(alpha=16.0),20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.0974,0.0974,0.04595767301686361,0.6584350176692009,0.0948,0.008250102846622453,0.6051174141988158,0.501,0.048,0.022106313940744794,0.474,0.04125051423311227,0.9270793098211288,0.025503728389740132,16.0
