Recall_mean,Recall_CI,NDCG_mean,NDCG_CI,Compliance_mean,Compliance_CI,dataset,method,cand_n,tau_target
0.05718266666666666,"(0.051, 0.063305)",0.02850040008773046,"(0.024869683339091737, 0.03246475896775747)",1.0,"(1.0, 1.0)",Amazon-VideoGames,Hard,17286,0.9
0.056787333333333335,"(0.05039, 0.063105)",0.028195391076878077,"(0.024609563985137292, 0.03207011767974823)",0.8002446666666666,"(0.789675, 0.810505)",Amazon-VideoGames,Mu-only,17286,0.9
0.056993999999999996,"(0.050695, 0.0634)",0.028278313333711308,"(0.024647134586788445, 0.03218662338262938)",0.9002,"(0.9002, 0.9002)",Amazon-VideoGames,Oracle,17286,0.9
0.056678666666666676,"(0.050095, 0.0632)",0.028166718209464203,"(0.02442638323531, 0.03193676033229024)",0.8999633333333334,"(0.891095, 0.9079050000000001)",Amazon-VideoGames,PenaltyBisect,17286,0.9
0.056875999999999996,"(0.050095, 0.063305)",0.02817273596177581,"(0.02441095937697958, 0.03194339243570748)",0.9045380000000001,"(0.8962, 0.912)",Amazon-VideoGames,PenaltyGrid,17286,0.9
0.05698400000000001,"(0.050695, 0.0634)",0.028329555260499663,"(0.02464509116081161, 0.032309735677365004)",0.9006393333333333,"(0.8994, 0.9018)",Amazon-VideoGames,Primal-Dual,17286,0.9
0.05699133333333333,"(0.050695, 0.0634)",0.02830610494432656,"(0.024677459752193716, 0.03231744474482872)",0.9002560000000002,"(0.9002, 0.9006)",Amazon-VideoGames,QuotaGateV6,17286,0.9
0.07147528307097487,"(0.06536454018227009, 0.07763463131731566)",0.03470932807292898,"(0.03140294718931939, 0.038027151737293215)",1.0,"(1.0, 1.0)",ML-1M,Hard,3533,0.9
0.07026953880143606,"(0.0642046396023198, 0.0763877381938691)",0.03416256475297337,"(0.03090622943081732, 0.03763354054312863)",0.7996012151339409,"(0.7895608947804474, 0.8101946975973487)",ML-1M,Mu-only,3533,0.9
0.07112455122894228,"(0.06503314001657001, 0.07705053852526926)",0.034463069163402534,"(0.03124179983244742, 0.03787048323019715)",0.9000828500414252,"(0.9000828500414251, 0.9000828500414251)",ML-1M,Oracle,3533,0.9
0.07115879591273129,"(0.0647887323943662, 0.07746893123446562)",0.03519367269660819,"(0.031563911685013595, 0.03887427467695957)",0.8997288041977356,"(0.8918765534382768, 0.9070588235294118)",ML-1M,PenaltyBisect,3533,0.9
0.07129687931510631,"(0.0647887323943662, 0.07771333885666942)",0.03571628012292555,"(0.031984732687575734, 0.03923326130721933)",0.9949334438000553,"(0.992953603976802, 0.9966859983429992)",ML-1M,PenaltyGrid,3533,0.9
0.07116542391604529,"(0.06512013256006628, 0.07713753106876553)",0.03447953415907264,"(0.03126212589649299, 0.03785709123797547)",0.9001226180613092,"(0.8987572493786247, 0.9015741507870754)",ML-1M,Primal-Dual,3533,0.9
0.07115272024302678,"(0.06495443247721625, 0.07705053852526926)",0.0344736611871383,"(0.03126108501597821, 0.03784787682895093)",0.9001154377243855,"(0.9000828500414251, 0.9004142502071251)",ML-1M,QuotaGateV6,3533,0.9
0.083244,"(0.075095, 0.090705)",0.04045776974826416,"(0.03629195997079307, 0.045012714423712005)",1.0,"(1.0, 1.0)",ML-20M,Hard,20720,0.9
0.08121266666666666,"(0.074085, 0.0888)",0.039780134780785396,"(0.035615937826422146, 0.04421032383980199)",0.7999733333333332,"(0.788895, 0.811505)",ML-20M,Mu-only,20720,0.9
0.08255933333333333,"(0.074875, 0.0902)",0.04021242621054733,"(0.03610300881954884, 0.04464218389838541)",0.9002,"(0.9002, 0.9002)",ML-20M,Oracle,20720,0.9
0.083702,"(0.0768, 0.09120999999999999)",0.040186374359429115,"(0.036404431596669125, 0.04462349280730937)",0.899856,"(0.89198, 0.907305)",ML-20M,PenaltyBisect,20720,0.9
0.08540666666666667,"(0.078095, 0.09341999999999998)",0.041666809497708415,"(0.03727570066038697, 0.04562519795215315)",1.0,"(1.0, 1.0)",ML-20M,PenaltyGrid,20720,0.9
0.08246733333333334,"(0.07478, 0.09)",0.04019605708741082,"(0.03602655592041641, 0.04465313762077692)",0.900228,"(0.8982, 0.9022)",ML-20M,Primal-Dual,20720,0.9
0.082492,"(0.074875, 0.0902)",0.04019953710971593,"(0.0360753359671024, 0.04466663370773971)",0.900256,"(0.9002, 0.9008)",ML-20M,QuotaGateV6,20720,0.9
