dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,ProxyUtilityLoss_vs_mu,ProxyUtilityGap_to_oracle,lam,tune,mandatory_infeasible,discretionary_used,V_left_end,warmup
ML-1M,200,3533,2.347123050689697,0.8,0.9,Baseline(mu-only),0.07058823529411765,0.034296528071027114,0.128739800543971,0.06255048259554204,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,0.5483015741507871,0.0,-0.004978895226884106,,,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,ConstrainedGreedy,0.07207953603976802,0.03475354129487381,0.1314596554850408,0.06338398963873179,0.8871582435791218,1.568171487849857,2.9613922357559206,10.524335506995453,0.5483015741507871,0.021626500285353956,0.01664760505846985,,,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,HardBisection (feasibility ceiling),0.07174813587406793,0.03482365686338899,0.13085524327591416,0.06351186738306211,1.0,1.4622569187117591,2.3018548250198365,10.497955860021001,0.5483015741507871,0.04800614725980523,0.043027252032921126,,,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,"PenaltyGrid (>=τ), λ*=1.000",0.07141673570836786,0.03582918484233377,0.13025083106678756,0.06534576322861417,0.9948632974316487,0.9578917998255732,1.751426875591278,10.252178719227434,0.5483015741507871,0.2937832880533726,0.2888043928264885,1.0,grid,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,"PenaltyBisect (~τ), λ=0.329",0.07141673570836786,0.03532821347380057,0.13025083106678756,0.06443208471271879,0.9000828500414251,1.3526033755771465,2.6677314281463627,10.503240027423722,0.5483015741507871,0.04272197985708459,0.037743084630200485,0.32939910888671875,bisect,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.07141673570836786,0.034582620697757825,0.13025083106678756,0.0630722622879929,0.9000828500414251,1.5814028555275788,3.2328308105468753,10.540983112053922,0.5483015741507871,0.004978895226884106,0.0,,,0.0,603.0,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.07141673570836786,0.03459148887901735,0.13025083106678756,0.06308843619971885,0.9000828500414251,1.581030068740977,3.222679424285889,10.540788400834913,0.5483015741507871,0.005173606445893597,0.0001947112190094913,,,,,0.0,0.0
ML-1M,500,3533,2.347123050689697,0.8,0.9,Baseline(mu-only),0.07058823529411765,0.034296528071027114,0.09479305740987984,0.04605686402061607,0.8,1.6208578173777932,3.253018617630005,10.545962007280806,0.7446561723280861,0.0,-0.004978895226884106,,,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,ConstrainedGreedy,0.07207953603976802,0.03475354129487381,0.09679572763684913,0.04667058783145605,0.8888152444076222,1.5666273611717314,2.948740243911743,10.521417027499524,0.7446561723280861,0.02454497978128245,0.019566084554398344,,,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,HardBisection (feasibility ceiling),0.07174813587406793,0.03482365686338899,0.09635068980863373,0.04676474614387016,1.0,1.4622395124962335,2.3018548250198365,10.497955860021001,0.7446561723280861,0.04800614725980523,0.043027252032921126,,,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,"PenaltyGrid (>=τ), λ*=1.000",0.07141673570836786,0.03582918484233377,0.09590565198041834,0.04811507132253767,0.9948632974316487,0.9578917998255732,1.751426875591278,10.252178719227434,0.7446561723280861,0.2937832880533726,0.2888043928264885,1.0,grid,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,"PenaltyBisect (~τ), λ=0.329",0.07141673570836786,0.03532821347380057,0.09590565198041834,0.04744231604681497,0.9000828500414251,1.3526033755771465,2.6677314281463627,10.503240027423722,0.7446561723280861,0.04272197985708459,0.037743084630200485,0.32939910888671875,bisect,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.07141673570836786,0.034582620697757825,0.09590565198041834,0.046441058280144304,0.9000828500414251,1.5813854493120532,3.2328308105468753,10.540983112053922,0.7446561723280861,0.004978895226884106,0.0,,,0.0,603.0,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.07141673570836786,0.03459148887901735,0.09590565198041834,0.04645296737536041,0.9000828500414251,1.5810126625254515,3.222679424285889,10.540788400834913,0.7446561723280861,0.005173606445893597,0.0001947112190094913,,,,,0.0,0.0
ML-1M,1000,3533,2.347123050689697,0.8,0.9,Baseline(mu-only),0.07058823529411765,0.034296528071027114,0.08094242827284819,0.03932729373145519,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,0.8720795360397681,0.0,-0.004978895226884106,,,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,ConstrainedGreedy,0.07207953603976802,0.03475354129487381,0.08265247957438723,0.039851343666077045,0.8914664457332229,1.5646644122991171,2.9410238504409794,10.516628291217769,0.8720795360397681,0.029333716063037585,0.02435482083615348,,,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,HardBisection (feasibility ceiling),0.07174813587406793,0.03482365686338899,0.08227246817404522,0.039931744094727814,1.0,1.4622569187117591,2.3018548250198365,10.497955860021001,0.8720795360397681,0.04800614725980523,0.043027252032921126,,,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,"PenaltyGrid (>=τ), λ*=1.000",0.07141673570836786,0.03582918484233377,0.08189245677370321,0.041084767342482294,0.9948632974316487,0.9578917998255732,1.751426875591278,10.252178719227434,0.8720795360397681,0.2937832880533726,0.2888043928264885,1.0,grid,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,"PenaltyBisect (~τ), λ=0.329",0.07141673570836786,0.03532821347380057,0.08189245677370321,0.0405103112890721,0.9000828500414251,1.3526033755771465,2.6677314281463627,10.503240027423722,0.8720795360397681,0.04272197985708459,0.037743084630200485,0.32939910888671875,bisect,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.07141673570836786,0.034582620697757825,0.08189245677370321,0.03965535168363452,0.9000828500414251,1.5814028555275788,3.2328308105468753,10.540983112053922,0.8720795360397681,0.004978895226884106,0.0,,,0.0,603.0,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.07141673570836786,0.03459148887901735,0.08189245677370321,0.0396655206887459,0.9000828500414251,1.581030068740977,3.222679424285889,10.540788400834913,0.8720795360397681,0.005173606445893597,0.0001947112190094913,,,,,0.0,0.0
ML-1M,3533,3533,2.347123050689697,0.8,0.9,Baseline(mu-only),0.07058823529411765,0.034296528071027114,0.07058823529411765,0.034296528071027114,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,0.0,-0.004978895226884106,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,ConstrainedGreedy,0.07141673570836786,0.034561949032194186,0.07141673570836786,0.034561949032194186,1.0,1.4872066928059875,2.344715881347656,10.247173773758453,1.0,0.2987882335223535,0.2938093382954694,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,HardBisection (feasibility ceiling),0.07174813587406793,0.03482365686338899,0.07174813587406793,0.03482365686338899,1.0,1.4622569187117591,2.3018548250198365,10.497955860021001,1.0,0.04800614725980523,0.043027252032921126,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,"PenaltyGrid (>=τ), λ*=1.000",0.07141673570836786,0.03582918484233377,0.07141673570836786,0.03582918484233377,0.9948632974316487,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,0.2937832880533726,0.2888043928264885,1.0,grid,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,"PenaltyBisect (~τ), λ=0.329",0.07141673570836786,0.03532821347380057,0.07141673570836786,0.03532821347380057,0.9000828500414251,1.3526033755771465,2.6677314281463627,10.503240027423722,1.0,0.04272197985708459,0.037743084630200485,0.32939910888671875,bisect,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.07141673570836786,0.034582620697757825,0.07141673570836786,0.034582620697757825,0.9000828500414251,1.5814028555275788,3.2328308105468753,10.540983112053922,1.0,0.004978895226884106,0.0,,,0.0,603.0,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.07141673570836786,0.03459148887901735,0.07141673570836786,0.03459148887901735,0.9000828500414251,1.581030068740977,3.222679424285889,10.540788400834913,1.0,0.005173606445893597,0.0001947112190094913,,,,,0.0,0.0
ML-20M,200,20720,0.9630447268486023,0.8,0.9,Baseline(mu-only),0.081,0.039728757821822384,0.13893653516295026,0.06814538219866619,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.583,0.0,-0.003184372138976599,,,,,,
ML-20M,200,20720,0.9630447268486023,0.8,0.9,ConstrainedGreedy,0.082,0.040025477167849606,0.14065180102915953,0.06865433476475061,0.8892,0.6899703001260757,1.210707950592041,9.803969916725158,0.583,0.013936534976959791,0.010752162837983192,,,,,,
ML-20M,200,20720,0.9630447268486023,0.8,0.9,HardBisection (feasibility ceiling),0.083,0.040377806748658665,0.1423670668953688,0.06925867366836821,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,0.583,0.03410274591445983,0.030918373775483232,,,,,,
ML-20M,200,20720,0.9630447268486023,0.8,0.9,"PenaltyGrid (>=τ), λ*=3.750",0.0852,0.04155290049864792,0.14614065180102917,0.07127427186732062,1.0,0.3741948482871056,0.5822123348712922,9.381048904299735,0.583,0.4368575474023828,0.4336731752634062,3.75,grid,,,,
ML-20M,200,20720,0.9630447268486023,0.8,0.9,"PenaltyBisect (~τ), λ=0.493",0.0834,0.040081404742768674,0.1430531732418525,0.06875026542498916,0.9,0.6179762585505844,1.0996452093124391,9.796766154646873,0.583,0.021140297055245227,0.01795592491626863,0.49266815185546875,bisect,,,,
ML-20M,200,20720,0.9630447268486023,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.040176189381109936,0.14133790737564322,0.06891284627977691,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.583,0.003184372138976599,0.0,,,0.0,499.0,,
ML-20M,200,20720,0.9630447268486023,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.04011837641584636,0.14099485420240138,0.06881368167383596,0.9002,0.6930342493653298,1.310646891593933,9.814512286853791,0.583,0.003394164848327108,0.0002097927093505092,,,,,0.0,0.0
ML-20M,500,20720,0.9630447268486023,0.8,0.9,Baseline(mu-only),0.081,0.039728757821822384,0.10635504201680672,0.05216486058537603,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.7616,0.0,-0.003184372138976599,,,,,,
ML-20M,500,20720,0.9630447268486023,0.8,0.9,ConstrainedGreedy,0.082,0.040025477167849606,0.10766806722689076,0.05255446056702942,0.8954,0.6876521700978279,1.1996998190879822,9.794518301010132,0.7616,0.023388150691985743,0.020203778553009144,,,,,,
ML-20M,500,20720,0.9630447268486023,0.8,0.9,HardBisection (feasibility ceiling),0.083,0.040377806748658665,0.10898109243697479,0.05301707818889006,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,0.7616,0.03410274591445983,0.030918373775483232,,,,,,
ML-20M,500,20720,0.9630447268486023,0.8,0.9,"PenaltyGrid (>=τ), λ*=3.750",0.0852,0.04155290049864792,0.11186974789915967,0.054560005906838134,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.7616,0.43686347029209216,0.43367909815311556,3.75,grid,,,,
ML-20M,500,20720,0.9630447268486023,0.8,0.9,"PenaltyBisect (~τ), λ=0.493",0.0834,0.040081404742768674,0.1095063025210084,0.05262789488283703,0.9,0.6179762585505844,1.0996452093124391,9.796766154646873,0.7616,0.021140297055245227,0.01795592491626863,0.49266815185546875,bisect,,,,
ML-20M,500,20720,0.9630447268486023,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.040176189381109936,0.10819327731092437,0.0527523495025078,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.7616,0.003184372138976599,0.0,,,0.0,499.0,,
ML-20M,500,20720,0.9630447268486023,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.04011837641584636,0.10793067226890757,0.05267643962164701,0.9002,0.6930342493653298,1.310646891593933,9.814512286853791,0.7616,0.003394164848327108,0.0002097927093505092,,,,,0.0,0.0
ML-20M,1000,20720,0.9630447268486023,0.8,0.9,Baseline(mu-only),0.081,0.039728757821822384,0.0939239332096475,0.046067669088384035,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.8624,0.0,-0.003184372138976599,,,,,,
ML-20M,1000,20720,0.9630447268486023,0.8,0.9,ConstrainedGreedy,0.082,0.040025477167849606,0.0950834879406308,0.04641173140984416,0.9016,0.6855329073429107,1.1814366638660436,9.7828443567276,0.8624,0.03506209497451884,0.031877722835542244,,,,,,
ML-20M,1000,20720,0.9630447268486023,0.8,0.9,HardBisection (feasibility ceiling),0.083,0.040377806748658665,0.0962430426716141,0.046820276842136674,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,0.8624,0.03410274591445983,0.030918373775483232,,,,,,
ML-20M,1000,20720,0.9630447268486023,0.8,0.9,"PenaltyGrid (>=τ), λ*=3.750",0.0852,0.04155290049864792,0.09879406307977737,0.04818286235928562,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.8624,0.43686347029209216,0.43367909815311556,3.75,grid,,,,
ML-20M,1000,20720,0.9630447268486023,0.8,0.9,"PenaltyBisect (~τ), λ=0.493",0.0834,0.040081404742768674,0.09670686456400743,0.04647658249393399,0.9,0.6179762585505844,1.0996452093124391,9.796766154646873,0.8624,0.021140297055245227,0.01795592491626863,0.49266815185546875,bisect,,,,
ML-20M,1000,20720,0.9630447268486023,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.040176189381109936,0.09554730983302412,0.046586490469747145,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.8624,0.003184372138976599,0.0,,,0.0,499.0,,
ML-20M,1000,20720,0.9630447268486023,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.04011837641584636,0.09531539888682745,0.04651945317236359,0.9002,0.6930342493653298,1.310646891593933,9.814512286853791,0.8624,0.003394164848327108,0.0002097927093505092,,,,,0.0,0.0
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,Baseline(mu-only),0.081,0.039728757821822384,0.08414710159983378,0.04127234346750716,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,0.0,-0.003184372138976599,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,ConstrainedGreedy,0.0814,0.039852038272058875,0.0845626428423021,0.04140041374616546,0.9356,0.6749567407250404,1.095354402065278,9.708537152957916,0.9626,0.10936929874420187,0.10618492660522527,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.9,HardBisection (feasibility ceiling),0.083,0.040377806748658665,0.08622480781217536,0.04194660996120784,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,0.9626,0.03410274591445983,0.030918373775483232,,,,,,
