dataset,method,cand_n,retrieval_hit,recall,ndcg,proxy_utility,delta_recall_to_fullN,delta_ndcg_to_fullN,delta_proxy_to_fullN
Amazon-VideoGames,Oracle,200,0.2742,0.0568,0.0281391037092923,6.0400200010538105,0.0,0.0,0.0
Amazon-VideoGames,Oracle,500,0.3934,0.0568,0.0281391037092923,6.0400200010538105,0.0,0.0,0.0
Amazon-VideoGames,Oracle,1000,0.4986,0.0568,0.0281391037092923,6.0400200010538105,0.0,0.0,0.0
Amazon-VideoGames,Oracle,5000,0.7438,0.0568,0.0281391037092923,6.0400200010538105,0.0,0.0,0.0
Amazon-VideoGames,Oracle,10000,0.844,0.0568,0.0281391037092923,6.0400200010538105,0.0,0.0,0.0
Amazon-VideoGames,Oracle,17286,1.0,0.0568,0.0281391037092923,6.0400200010538105,0.0,0.0,0.0
Amazon-VideoGames,PenaltyBisect,200,0.2742,0.0566,0.0280910165410373,5.974734331798554,0.0,0.0,0.0
Amazon-VideoGames,PenaltyBisect,500,0.3934,0.0566,0.0280910165410373,5.974734331798554,0.0,0.0,0.0
Amazon-VideoGames,PenaltyBisect,1000,0.4986,0.0566,0.0280910165410373,5.974734331798554,0.0,0.0,0.0
Amazon-VideoGames,PenaltyBisect,5000,0.7438,0.0566,0.0280910165410373,5.974734331798554,0.0,0.0,0.0
Amazon-VideoGames,PenaltyBisect,10000,0.844,0.0566,0.0280910165410373,5.974734331798554,0.0,0.0,0.0
Amazon-VideoGames,PenaltyBisect,17286,1.0,0.0566,0.0280910165410373,5.974734331798554,0.0,0.0,0.0
Amazon-VideoGames,PenaltyGrid,200,0.2742,0.0568,0.0280982404900128,5.969940941095352,0.0,0.0,0.0
Amazon-VideoGames,PenaltyGrid,500,0.3934,0.0568,0.0280982404900128,5.969940941095352,0.0,0.0,0.0
Amazon-VideoGames,PenaltyGrid,1000,0.4986,0.0568,0.0280982404900128,5.969940941095352,0.0,0.0,0.0
