dataset,comparator,delta_tau_mae_mean,delta_tau_mae_ci_low,delta_tau_mae_ci_high,delta_reward_gap_mean,delta_reward_gap_ci_low,delta_reward_gap_ci_high
Amazon-VideoGames,Hard,-0.09865999999999998,-0.09879999999999997,-0.09849999999999998,-6.917834281920017e-05,-8.869001269338914e-05,-5.1065236330035667e-05
Amazon-VideoGames,Mu-only,-0.16380000000000006,-0.16985150000000002,-0.15714550000000005,-7.766485214242994e-06,-2.4053901433971547e-05,1.054006814957681e-05
Amazon-VideoGames,Penalty,-0.11618,-0.12063249999999999,-0.11151900000000002,-8.740425109872767e-06,-2.470046281815625e-05,7.557123899451819e-06
Amazon-VideoGames,Primal-Dual,4.000000000000004e-05,-0.0003200000000000003,0.0003600000000000003,-0.15712381482124324,-0.17477141743898383,-0.1430348112285137
ML-1M,Hard,-0.09917999999999998,-0.09937999999999998,-0.09894999999999998,-0.00010283946990969961,-0.0003035934865474865,4.005488753315064e-05
ML-1M,Mu-only,-0.050070000000000024,-0.052720000000000024,-0.04828475000000002,-4.54545021057417e-06,-2.1404266357416944e-05,1.2238651514043099e-05
ML-1M,Penalty,-0.008219999999999991,-0.009030499999999993,-0.007228999999999994,9.949207305904169e-05,6.093016266820533e-05,0.00014099586009972214
ML-1M,Primal-Dual,-0.02506,-0.027335249999999985,-0.022269999999999995,-0.12126083016395565,-0.15499996405839916,-0.09390252727270124
ML-20M,Hard,-0.09881999999999998,-0.09895999999999998,-0.09865999999999998,-0.00010223388671872802,-0.00012755608558654184,-7.708355784414644e-05
ML-20M,Mu-only,-0.15572000000000003,-0.15974000000000005,-0.15091800000000005,5.302906036378243e-05,3.71312797069713e-05,6.8794369697587e-05
ML-20M,Penalty,-0.032400000000000026,-0.03465050000000003,-0.02976950000000003,-0.00012321233749388168,-0.00045673567056655855,8.143883943560778e-05
ML-20M,Primal-Dual,4.000000000000004e-05,-0.0002200000000000002,0.00028000000000000025,-0.16594888508319847,-0.1949871727675199,-0.13787484410405154
