dataset,t,method,mean_reward,viol_rate,mean_list_risk,B
ML-1M,0,mu,0.8846456015259028,0.2,14.036336741924286,16.140652084350585
ML-1M,1,mu,47.15713112640381,0.5645,16.751559090614318,16.140652084350585
ML-1M,2,mu,124.61750804138184,0.857,18.44411935901642,16.140652084350585
ML-1M,3,mu,192.59472763061524,0.8765,18.664042085170745,16.140652084350585
ML-1M,4,mu,250.98404107284546,0.882,18.827725416660307,16.140652084350585
ML-1M,5,mu,301.2554264678955,0.889,18.954883914470674,16.140652084350585
ML-1M,6,mu,344.2838620300293,0.8975,19.05587085914612,16.140652084350585
ML-1M,7,mu,381.2389808502197,0.901,19.099065093040466,16.140652084350585
ML-1M,8,mu,412.8603973007202,0.9015,19.118143365859986,16.140652084350585
ML-1M,9,mu,439.9484240875244,0.902,19.16258071088791,16.140652084350585
ML-1M,10,mu,463.13181854248046,0.9025,19.168362666606903,16.140652084350585
ML-1M,11,mu,482.95361573028566,0.9025,19.18276518392563,16.140652084350585
ML-1M,12,mu,499.90125577545166,0.903,19.18433102941513,16.140652084350585
ML-1M,13,mu,514.3902532501221,0.903,19.186016521930693,16.140652084350585
ML-1M,14,mu,526.8016329269409,0.9035,19.187486369609832,16.140652084350585
ML-1M,15,mu,537.4133622665405,0.9035,19.189738914966583,16.140652084350585
ML-1M,16,mu,546.4851210250855,0.9035,19.189671917438506,16.140652084350585
ML-1M,17,mu,554.273039642334,0.904,19.191747194290162,16.140652084350585
ML-1M,18,mu,560.9593076705933,0.904,19.191714544296264,16.140652084350585
ML-1M,19,mu,566.6747146224975,0.904,19.192553983211518,16.140652084350585
ML-1M,20,mu,571.5847935028077,0.905,19.194436689376833,16.140652084350585
ML-1M,21,mu,575.7815431365967,0.905,19.1954686756134,16.140652084350585
ML-1M,22,mu,579.3931850433349,0.9055,19.196594694137573,16.140652084350585
ML-1M,23,mu,582.4811382293701,0.9055,19.196594698905944,16.140652084350585
ML-1M,24,mu,585.1213379058838,0.9055,19.197540135383605,16.140652084350585
ML-1M,25,mu,587.3787097015381,0.9055,19.197941614151002,16.140652084350585
ML-1M,26,mu,589.3073663787842,0.9055,19.19874863910675,16.140652084350585
ML-1M,27,mu,590.9798190460205,0.906,19.200466586112977,16.140652084350585
ML-1M,28,mu,592.4083666534424,0.906,19.200927496910094,16.140652084350585
ML-1M,29,mu,593.6532252502442,0.9065,19.201858666419984,16.140652084350585
ML-1M,30,mu,594.7175821990967,0.9065,19.201858667373656,16.140652084350585
ML-1M,31,mu,595.625035446167,0.9065,19.20323364830017,16.140652084350585
ML-1M,32,mu,596.4274239044189,0.9065,19.203861742973327,16.140652084350585
ML-1M,33,mu,597.167427947998,0.907,19.206519165992738,16.140652084350585
ML-1M,34,mu,597.7987877044678,0.907,19.206973008155824,16.140652084350585
ML-1M,35,mu,598.3706116790771,0.9075,19.208897788524627,16.140652084350585
ML-1M,36,mu,598.8595196838379,0.9075,19.20850833940506,16.140652084350585
ML-1M,37,mu,599.2775355377197,0.9075,19.210122327327728,16.140652084350585
ML-1M,38,mu,599.6349404907227,0.9075,19.20963321352005,16.140652084350585
ML-1M,39,mu,599.9405223693848,0.9075,19.209659456729888,16.140652084350585
ML-1M,40,mu,600.2017923736572,0.9075,19.210038616657258,16.140652084350585
ML-1M,41,mu,600.425179397583,0.9075,19.21065247297287,16.140652084350585
ML-1M,42,mu,600.6161748046875,0.9075,19.21065247297287,16.140652084350585
ML-1M,43,mu,600.778064025879,0.9075,19.21065247297287,16.140652084350585
ML-1M,44,mu,600.9373557281494,0.908,19.211445230960845,16.140652084350585
ML-1M,45,mu,601.1040664978027,0.908,19.2130894780159,16.140652084350585
ML-1M,46,mu,601.246603805542,0.908,19.2134885764122,16.140652084350585
ML-1M,47,mu,601.3684733581543,0.908,19.21420310163498,16.140652084350585
ML-1M,48,mu,601.4726734161377,0.908,19.215010125637054,16.140652084350585
ML-1M,49,mu,601.5617626190185,0.908,19.215003407001497,16.140652084350585
ML-1M,0,penalty,0.884736922968179,0.1,13.07392839717865,16.140652084350585
ML-1M,1,penalty,46.281124021530154,0.5325,16.620260714530946,16.140652084350585
ML-1M,2,penalty,123.84889710617065,0.8495,18.36902099609375,16.140652084350585
ML-1M,3,penalty,191.90944707489012,0.871,18.63568329000473,16.140652084350585
ML-1M,4,penalty,250.69803900146485,0.8825,18.83516052675247,16.140652084350585
ML-1M,5,penalty,301.1912769393921,0.89,18.968850539684297,16.140652084350585
ML-1M,6,penalty,344.4211676940918,0.8965,19.063221051216125,16.140652084350585
ML-1M,7,penalty,381.43442987060547,0.897,19.114816966056825,16.140652084350585
ML-1M,8,penalty,413.1064608230591,0.8975,19.134150104522703,16.140652084350585
ML-1M,9,penalty,440.26712006378176,0.8985,19.180045919418333,16.140652084350585
ML-1M,10,penalty,463.60370901489256,0.9015,19.1935986495018,16.140652084350585
ML-1M,11,penalty,483.55525579833983,0.9015,19.20461603116989,16.140652084350585
ML-1M,12,penalty,500.6457286758423,0.902,19.21172086429596,16.140652084350585
ML-1M,13,penalty,515.2580816421508,0.902,19.213370659828186,16.140652084350585
ML-1M,14,penalty,527.7516432495117,0.902,19.214363203048705,16.140652084350585
ML-1M,15,penalty,538.4336400222778,0.902,19.214510523796083,16.140652084350585
ML-1M,16,penalty,547.5667441635131,0.902,19.213805143356325,16.140652084350585
ML-1M,17,penalty,555.3755500717164,0.902,19.21365879535675,16.140652084350585
ML-1M,18,penalty,562.0507576293945,0.902,19.214510808944702,16.140652084350585
ML-1M,19,penalty,567.7814338531495,0.9025,19.217627942085265,16.140652084350585
ML-1M,20,penalty,572.68116330719,0.9025,19.217902236938478,16.140652084350585
ML-1M,21,penalty,576.8704331741333,0.9025,19.2188879404068,16.140652084350585
ML-1M,22,penalty,580.4522570800781,0.9025,19.2188879404068,16.140652084350585
ML-1M,23,penalty,583.5147155151367,0.9025,19.21969496822357,16.140652084350585
ML-1M,24,penalty,586.131735321045,0.9025,19.21969496822357,16.140652084350585
ML-1M,25,penalty,588.3927250366211,0.903,19.22048772716522,16.140652084350585
ML-1M,26,penalty,590.3258704833985,0.903,19.220487728118897,16.140652084350585
ML-1M,27,penalty,591.9773827362061,0.903,19.220626139640807,16.140652084350585
ML-1M,28,penalty,593.4214187164307,0.9035,19.22195866918564,16.140652084350585
ML-1M,29,penalty,594.65606980896,0.9035,19.222382961750032,16.140652084350585
ML-1M,30,penalty,595.7116976623536,0.9035,19.22362618970871,16.140652084350585
ML-1M,31,penalty,596.6142584838867,0.9035,19.22362618970871,16.140652084350585
ML-1M,32,penalty,597.3845419464111,0.9035,19.2237120013237,16.140652084350585
ML-1M,33,penalty,598.0665943908691,0.904,19.22469960832596,16.140652084350585
ML-1M,34,penalty,598.6497490844727,0.904,19.224699609279632,16.140652084350585
ML-1M,35,penalty,599.1483461151123,0.904,19.224838020801545,16.140652084350585
ML-1M,36,penalty,599.5746461791992,0.904,19.224838020801545,16.140652084350585
ML-1M,37,penalty,599.9391333465576,0.904,19.226074590206146,16.140652084350585
ML-1M,38,penalty,600.2507697906494,0.904,19.22666119623184,16.140652084350585
ML-1M,39,penalty,600.5172193603515,0.904,19.22666119623184,16.140652084350585
ML-1M,40,penalty,600.7450317230224,0.904,19.226661197185518,16.140652084350585
ML-1M,41,penalty,600.939811706543,0.904,19.226661197185518,16.140652084350585
ML-1M,42,penalty,601.1063484191894,0.904,19.226661197185518,16.140652084350585
ML-1M,43,penalty,601.248740234375,0.904,19.226661197185518,16.140652084350585
ML-1M,44,penalty,601.3704812774658,0.904,19.226661197185518,16.140652084350585
ML-1M,45,penalty,601.4745720062256,0.904,19.227090742588043,16.140652084350585
ML-1M,46,penalty,601.5635689697266,0.904,19.227090742588043,16.140652084350585
ML-1M,47,penalty,601.6396618652344,0.904,19.227090742588043,16.140652084350585
ML-1M,48,penalty,601.7047208251953,0.904,19.227090742588043,16.140652084350585
ML-1M,49,penalty,601.7603448181152,0.904,19.227090742588043,16.140652084350585
ML-1M,0,hard,0.8840404809191823,0.0,13.618270386219026,16.140652084350585
ML-1M,1,hard,47.14819008636475,0.0,15.300404866218567,16.140652084350585
ML-1M,2,hard,123.86794919586181,0.0,15.30029333972931,16.140652084350585
ML-1M,3,hard,191.5531008682251,0.0,15.11336511182785,16.140652084350585
ML-1M,4,hard,249.79342095947266,0.0,15.024307194232941,16.140652084350585
ML-1M,5,hard,299.9344022903442,0.0,14.885342185974121,16.140652084350585
ML-1M,6,hard,342.9496738586426,0.0,14.855440036773683,16.140652084350585
ML-1M,7,hard,379.758168006897,0.0,14.825129434108733,16.140652084350585
ML-1M,8,hard,411.2515524597168,0.0,14.76859113407135,16.140652084350585
ML-1M,9,hard,438.2089930419922,0.0,14.764755742549896,16.140652084350585
ML-1M,10,hard,461.2889358596802,0.0,14.756776034832,16.140652084350585
ML-1M,11,hard,481.0499425888062,0.0,14.731389712810516,16.140652084350585
ML-1M,12,hard,497.9443550338745,0.0,14.724385054588318,16.140652084350585
ML-1M,13,hard,512.411122718811,0.0,14.719108295917511,16.140652084350585
ML-1M,14,hard,524.8035175476074,0.0,14.710588963508606,16.140652084350585
ML-1M,15,hard,535.3977223281861,0.0,14.710347297668458,16.140652084350585
ML-1M,16,hard,544.485135017395,0.0,14.709616687297821,16.140652084350585
ML-1M,17,hard,552.3088890075684,0.0,14.71037293434143,16.140652084350585
ML-1M,18,hard,559.0215494232177,0.0,14.708843487739562,16.140652084350585
ML-1M,19,hard,564.7608727493287,0.0,14.708542404651642,16.140652084350585
ML-1M,20,hard,569.6679952087402,0.0,14.70784725379944,16.140652084350585
ML-1M,21,hard,573.8635831298828,0.0,14.708118421077728,16.140652084350585
ML-1M,22,hard,577.4508108673095,0.0,14.70751279783249,16.140652084350585
ML-1M,23,hard,580.5178925170899,0.0,14.707493778705597,16.140652084350585
ML-1M,24,hard,583.1402436218261,0.0,14.706907172203064,16.140652084350585
ML-1M,25,hard,585.3823573150635,0.0,14.706907171249389,16.140652084350585
ML-1M,26,hard,587.2993644714355,0.0,14.706907171249389,16.140652084350585
ML-1M,27,hard,588.9384037780761,0.0,14.706320565223693,16.140652084350585
ML-1M,28,hard,590.3372237701416,0.0,14.705733959674836,16.140652084350585
ML-1M,29,hard,591.5637018737793,0.0,14.70592105102539,16.140652084350585
ML-1M,30,hard,592.6123413696289,0.0,14.705782664299011,16.140652084350585
ML-1M,31,hard,593.508928314209,0.0,14.706049844741822,16.140652084350585
ML-1M,32,hard,594.275508895874,0.0,14.706049844264983,16.140652084350585
ML-1M,33,hard,594.9309369659424,0.0,14.706166530609131,16.140652084350585
ML-1M,34,hard,595.4913257904053,0.0,14.706166530609131,16.140652084350585
ML-1M,35,hard,595.9704593353272,0.0,14.706166530609131,16.140652084350585
ML-1M,36,hard,596.3801183929444,0.0,14.706166530609131,16.140652084350585
ML-1M,37,hard,596.7303774871826,0.0,14.70533799123764,16.140652084350585
ML-1M,38,hard,597.0298472137451,0.0,14.70533799123764,16.140652084350585
ML-1M,39,hard,597.2858960418702,0.0,14.70533799123764,16.140652084350585
ML-1M,40,hard,597.5048157196045,0.0,14.70533799123764,16.140652084350585
ML-1M,41,hard,597.6919931793213,0.0,14.70533799123764,16.140652084350585
ML-1M,42,hard,597.852029006958,0.0,14.70533799123764,16.140652084350585
ML-1M,43,hard,597.9888599090576,0.0,14.70533799123764,16.140652084350585
ML-1M,44,hard,598.1058504333496,0.0,14.70533799123764,16.140652084350585
ML-1M,45,hard,598.2058770751953,0.0,14.70533799123764,16.140652084350585
ML-1M,46,hard,598.2913995971679,0.0,14.70533799123764,16.140652084350585
ML-1M,47,hard,598.3645215911865,0.0,14.70533799123764,16.140652084350585
ML-1M,48,hard,598.4270412139892,0.0,14.70533799123764,16.140652084350585
ML-1M,49,hard,598.4804935150147,0.0,14.70533799123764,16.140652084350585
ML-20M,0,mu,0.8163049260638654,0.2,5.42858461034298,6.344457530975342
ML-20M,1,mu,16.382340285778046,0.999,7.255882068157196,6.344457530975342
ML-20M,2,mu,39.19263809776306,1.0,7.384034279346466,6.344457530975342
ML-20M,3,mu,59.2922527809143,1.0,7.416202198505402,6.344457530975342
ML-20M,4,mu,76.51213771438599,1.0,7.447641816616058,6.344457530975342
ML-20M,5,mu,91.25285249328613,1.0,7.470519902706147,6.344457530975342
ML-20M,6,mu,103.86651781463623,1.0,7.491772259235382,6.344457530975342
ML-20M,7,mu,114.65874150085449,1.0,7.503635851383209,6.344457530975342
ML-20M,8,mu,123.88609197998046,1.0,7.514007561206817,6.344457530975342
ML-20M,9,mu,131.7754753265381,1.0,7.525015346050262,6.344457530975342
ML-20M,10,mu,138.52089780426024,1.0,7.543243295669556,6.344457530975342
ML-20M,11,mu,144.28823439788817,1.0,7.55108779335022,6.344457530975342
ML-20M,12,mu,149.21930698394775,1.0,7.554831912517548,6.344457530975342
ML-20M,13,mu,153.4353736114502,1.0,7.5605006785392765,6.344457530975342
ML-20M,14,mu,157.0401106491089,1.0,7.561423560619354,6.344457530975342
ML-20M,15,mu,160.1221604537964,1.0,7.561423560619354,6.344457530975342
ML-20M,16,mu,162.7573130493164,1.0,7.560871078968048,6.344457530975342
ML-20M,17,mu,165.01036889648438,1.0,7.560792194843292,6.344457530975342
ML-20M,18,mu,166.93673110961913,1.0,7.560739605426789,6.344457530975342
ML-20M,19,mu,168.58377066802979,1.0,7.560713310718536,6.344457530975342
ML-20M,20,mu,169.99198965454102,1.0,7.560713310718536,6.344457530975342
ML-20M,21,mu,171.19601639556885,1.0,7.560713310718536,6.344457530975342
ML-20M,22,mu,172.225459815979,1.0,7.560713310718536,6.344457530975342
ML-20M,23,mu,173.10563327026367,1.0,7.560713310718536,6.344457530975342
