dataset,t,method,mean_reward,compliance,viol_rate,mean_list_risk,p95_risk,B,tau,cand_n,lam_penalty,warmup,oracle_mean_reward,oracle_gap,V_left_end,elig_seen,infeasible,expected_reward,tuned_eta0,dual_lambda,mean_du,online_violation_rate
ML-1M,0,mu,0.9795464277267456,0.8,0.2,3.6980602741241455,5.453447341918945,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9795464277267456,,,,
ML-1M,1,mu,0.9864569306373596,0.8245,0.1755,3.629364967346192,5.508132457733154,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9864569306373596,,,,
ML-1M,2,mu,0.9910963177680968,0.8375,0.1625,3.5930333137512207,5.526809215545654,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9910963177680968,,,,
ML-1M,3,mu,0.9938077926635742,0.845,0.155,3.5725176334381104,5.535187721252441,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9938077926635742,,,,
ML-1M,4,mu,0.9955252408981324,0.844,0.156,3.559752941131592,5.534049034118652,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9955252408981324,,,,
ML-1M,5,mu,0.9965193867683412,0.8475,0.1525,3.5486464500427246,5.546908855438232,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9965193867683412,,,,
ML-1M,6,mu,0.9973421692848206,0.8455,0.1545,3.5387110710144043,5.55176305770874,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9973421692848206,,,,
ML-1M,7,mu,0.9978718161582948,0.848,0.152,3.5313713550567627,5.54780912399292,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9978718161582948,,,,
ML-1M,8,mu,0.9982205033302308,0.85,0.15,3.524470806121826,5.552770137786865,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9982205033302308,,,,
ML-1M,9,mu,0.9985116720199584,0.851,0.149,3.5172224044799805,5.545838356018066,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9985116720199584,,,,
ML-1M,10,mu,0.9986622333526612,0.8515,0.1485,3.510685443878174,5.5472331047058105,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9986622333526612,,,,
ML-1M,11,mu,0.998895525932312,0.8515,0.1485,3.5063042640686035,5.550113201141357,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.998895525932312,,,,
ML-1M,12,mu,0.9989771842956544,0.8525,0.1475,3.5019071102142334,5.5409440994262695,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9989771842956544,,,,
ML-1M,13,mu,0.9990787506103516,0.8525,0.1475,3.498236656188965,5.539443492889404,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9990787506103516,,,,
ML-1M,14,mu,0.9991479516029358,0.852,0.148,3.4944887161254883,5.533111095428467,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9991479516029358,,,,
ML-1M,15,mu,0.99921452999115,0.852,0.148,3.4916791915893555,5.52780818939209,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.99921452999115,,,,
ML-1M,16,mu,0.9992413520812988,0.852,0.148,3.488730430603028,5.527705192565918,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9992413520812988,,,,
ML-1M,17,mu,0.9992807507514954,0.852,0.148,3.485881805419922,5.524654388427734,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9992807507514954,,,,
ML-1M,18,mu,0.9993109703063964,0.852,0.148,3.483401298522949,5.524653911590576,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9993109703063964,,,,
ML-1M,19,mu,0.9993635416030884,0.851,0.149,3.482313871383667,5.524783611297607,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9993635416030884,,,,
ML-1M,20,mu,0.9993791580200196,0.851,0.149,3.4804131984710693,5.525250434875488,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9993791580200196,,,,
ML-1M,21,mu,0.9993911981582642,0.851,0.149,3.478744983673096,5.52115535736084,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9993911981582642,,,,
ML-1M,22,mu,0.9994112253189088,0.851,0.149,3.4769539833068848,5.522021293640137,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994112253189088,,,,
ML-1M,23,mu,0.99941086769104,0.851,0.149,3.475487232208252,5.518587112426758,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.99941086769104,,,,
ML-1M,24,mu,0.9994245767593384,0.851,0.149,3.4731016159057617,5.522247314453125,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994245767593384,,,,
ML-1M,25,mu,0.9994376301765442,0.8515,0.1485,3.4717319011688232,5.522468090057373,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994376301765442,,,,
ML-1M,26,mu,0.9994537234306335,0.8515,0.1485,3.470876455307007,5.522468090057373,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994537234306335,,,,
ML-1M,27,mu,0.9994516372680664,0.8515,0.1485,3.4707493782043457,5.522468090057373,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994516372680664,,,,
ML-1M,28,mu,0.9994521141052246,0.852,0.148,3.4693565368652344,5.524546146392822,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994521141052246,,,,
ML-1M,29,mu,0.9994710683822632,0.851,0.149,3.467752456665039,5.519059181213379,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994710683822632,,,,
ML-1M,30,mu,0.9994655251502992,0.8505,0.1495,3.466444492340088,5.5178070068359375,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994655251502992,,,,
ML-1M,31,mu,0.999483287334442,0.8515,0.1485,3.4650464057922363,5.515895366668701,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.999483287334442,,,,
ML-1M,32,mu,0.9994776844978333,0.8515,0.1485,3.4641480445861816,5.518623352050781,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994776844978333,,,,
ML-1M,33,mu,0.9994745254516602,0.851,0.149,3.463509082794189,5.514675140380859,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994745254516602,,,,
ML-1M,34,mu,0.9994807243347168,0.851,0.149,3.4620423316955566,5.511045455932617,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994807243347168,,,,
ML-1M,35,mu,0.9994956851005554,0.852,0.148,3.4612627029418945,5.510865211486816,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994956851005554,,,,
ML-1M,36,mu,0.9994927048683168,0.852,0.148,3.4601376056671143,5.508728504180908,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994927048683168,,,,
ML-1M,37,mu,0.999491572380066,0.8515,0.1485,3.4588942527771,5.505796909332275,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.999491572380066,,,,
ML-1M,38,mu,0.9995059967041016,0.852,0.148,3.457944869995117,5.505796909332275,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9995059967041016,,,,
ML-1M,39,mu,0.9995097517967224,0.8525,0.1475,3.4565625190734863,5.505307674407959,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9995097517967224,,,,
ML-1M,40,mu,0.999504029750824,0.8525,0.1475,3.456242561340332,5.505307674407959,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.999504029750824,,,,
ML-1M,41,mu,0.9995003938674928,0.852,0.148,3.455411672592163,5.505962371826172,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9995003938674928,,,,
ML-1M,42,mu,0.9995043873786926,0.8515,0.1485,3.4545674324035645,5.505307674407959,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9995043873786926,,,,
ML-1M,43,mu,0.9995153546333312,0.8515,0.1485,3.4534356594085693,5.500831127166748,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9995153546333312,,,,
ML-1M,44,mu,0.9995033144950868,0.8515,0.1485,3.453219413757324,5.501684665679932,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9995033144950868,,,,
ML-1M,45,mu,0.9995190501213074,0.8515,0.1485,3.452420949935913,5.5054850578308105,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9995190501213074,,,,
ML-1M,46,mu,0.9995203614234924,0.852,0.148,3.451888084411621,5.5054850578308105,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9995203614234924,,,,
