dataset,challenger,scope,comparator,metric,delta_mean,ci_low,ci_high
Amazon-VideoGames,OC-Quota,overall,Penalty,bad_exposure,-0.0024,-0.013205,0.009014999999999985
Amazon-VideoGames,OC-Quota,overall,Penalty,weighted_bad_exposure,-0.025048737835884093,-0.03231616841971874,-0.017947530220747004
Amazon-VideoGames,OC-Quota,overall,Penalty,risk_weighted_miss,0.07410568121224642,0.06459877724908292,0.08321100413314998
Amazon-VideoGames,OC-Quota,overall,Penalty,compliant,0.0002,-0.0118,0.0112
Amazon-VideoGames,OC-Quota,overall,Penalty,hit,-0.0002,-0.0022,0.0022
Amazon-VideoGames,OC-Quota,overall,Penalty,ndcg,-5.214565757350309e-05,-0.0008785532060527078,0.0010247777306571064
Amazon-VideoGames,OC-Quota,highrisk,Penalty,bad_exposure,-0.012,-0.06405,0.04604999999999995
Amazon-VideoGames,OC-Quota,highrisk,Penalty,weighted_bad_exposure,-0.12524368917942047,-0.16086969139575957,-0.09021491107940675
Amazon-VideoGames,OC-Quota,highrisk,Penalty,risk_weighted_miss,-0.03202838659286499,-0.0768393743366003,0.010677511490881354
Amazon-VideoGames,OC-Quota,highrisk,Penalty,compliant,0.001,-0.056,0.056
Amazon-VideoGames,OC-Quota,highrisk,Penalty,hit,-0.003,-0.008,0.002
Amazon-VideoGames,OC-Quota,highrisk,Penalty,ndcg,-0.0018438128553110679,-0.003955506646609528,0.00040686036465657744
Amazon-VideoGames,OC-Quota,overall,Primal-Dual,bad_exposure,0.0,-0.010605,0.0116
Amazon-VideoGames,OC-Quota,overall,Primal-Dual,weighted_bad_exposure,-0.10942443125247955,-0.12494434711158275,-0.09468397679388524
Amazon-VideoGames,OC-Quota,overall,Primal-Dual,risk_weighted_miss,-0.10961538573503495,-0.1259076703798771,-0.09392886679917577
Amazon-VideoGames,OC-Quota,overall,Primal-Dual,compliant,-0.0018,-0.0136,0.008804999999999995
Amazon-VideoGames,OC-Quota,overall,Primal-Dual,hit,-0.0002,-0.0008,0.0004
Amazon-VideoGames,OC-Quota,overall,Primal-Dual,ndcg,-3.7139850471278354e-05,-0.0003044017439589736,0.00021779970786022144
Amazon-VideoGames,OC-Quota,highrisk,Primal-Dual,bad_exposure,0.0,-0.049,0.05307499999999993
Amazon-VideoGames,OC-Quota,highrisk,Primal-Dual,weighted_bad_exposure,-0.5471221562623978,-0.6142451685309409,-0.47444768083095556
Amazon-VideoGames,OC-Quota,highrisk,Primal-Dual,risk_weighted_miss,-0.5480769286751748,-0.6195711979746819,-0.4737964850351215
Amazon-VideoGames,OC-Quota,highrisk,Primal-Dual,compliant,-0.009,-0.06605,0.04002499999999998
Amazon-VideoGames,OC-Quota,highrisk,Primal-Dual,hit,-0.001,-0.004,0.0020249999999999773
Amazon-VideoGames,OC-Quota,highrisk,Primal-Dual,ndcg,-0.00018569925235639178,-0.0015973543187864675,0.0012575718397518565
Amazon-VideoGames,OC-Quota,overall,QuotaGateV6,bad_exposure,-0.0016,-0.0108,0.010004999999999997
Amazon-VideoGames,OC-Quota,overall,QuotaGateV6,weighted_bad_exposure,-0.10825988161563874,-0.12391947312295437,-0.09327518817305565
Amazon-VideoGames,OC-Quota,overall,QuotaGateV6,risk_weighted_miss,-0.10870801069736481,-0.12485323199927807,-0.09229522846817971
Amazon-VideoGames,OC-Quota,overall,QuotaGateV6,compliant,-0.0004,-0.012205,0.00900999999999999
Amazon-VideoGames,OC-Quota,overall,QuotaGateV6,hit,-0.0002,-0.0008,0.0004
Amazon-VideoGames,OC-Quota,overall,QuotaGateV6,ndcg,-3.7139850471278354e-05,-0.0003044017439589736,0.00021779970786022144
Amazon-VideoGames,OC-Quota,highrisk,QuotaGateV6,bad_exposure,-0.008,-0.057,0.04209999999999991
Amazon-VideoGames,OC-Quota,highrisk,QuotaGateV6,weighted_bad_exposure,-0.5412994080781937,-0.6106188997894525,-0.46691191837489604
Amazon-VideoGames,OC-Quota,highrisk,QuotaGateV6,risk_weighted_miss,-0.543540053486824,-0.6163754689633846,-0.46890647572278976
Amazon-VideoGames,OC-Quota,highrisk,QuotaGateV6,compliant,-0.002,-0.054049999999999994,0.04802499999999998
Amazon-VideoGames,OC-Quota,highrisk,QuotaGateV6,hit,-0.001,-0.004,0.0020249999999999773
Amazon-VideoGames,OC-Quota,highrisk,QuotaGateV6,ndcg,-0.00018569925235639178,-0.0015973543187864675,0.0012575718397518565
Amazon-VideoGames,Guarded-OC-Quota,overall,Penalty,bad_exposure,-0.001,-0.0066,0.004
Amazon-VideoGames,Guarded-OC-Quota,overall,Penalty,weighted_bad_exposure,0.07583170981407165,0.06514355781674386,0.08555916108191013
Amazon-VideoGames,Guarded-OC-Quota,overall,Penalty,risk_weighted_miss,0.1754847786024213,0.1653608423704654,0.1855149581681937
Amazon-VideoGames,Guarded-OC-Quota,overall,Penalty,compliant,0.0004,-0.004405,0.006204999999999995
Amazon-VideoGames,Guarded-OC-Quota,overall,Penalty,hit,0.0,-0.002,0.0022049999999999956
Amazon-VideoGames,Guarded-OC-Quota,overall,Penalty,ndcg,-3.763524565531635e-05,-0.0008814210853244761,0.0009212739693812417
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Penalty,bad_exposure,-0.005,-0.031024999999999997,0.019024999999999976
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Penalty,weighted_bad_exposure,0.3791585490703583,0.3350811119377613,0.42221277610957614
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Penalty,risk_weighted_miss,0.47486710035800933,0.429906606785953,0.5176532404199242
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Penalty,compliant,0.002,-0.023,0.029
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Penalty,hit,-0.002,-0.007,0.003
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Penalty,ndcg,-0.0017712607957201343,-0.0035518348998373026,0.00011943697803794485
Amazon-VideoGames,Guarded-OC-Quota,overall,Primal-Dual,bad_exposure,0.0014,-0.0028,0.0056
Amazon-VideoGames,Guarded-OC-Quota,overall,Primal-Dual,weighted_bad_exposure,-0.008543983602523803,-0.012225226771831512,-0.0048837008219957375
Amazon-VideoGames,Guarded-OC-Quota,overall,Primal-Dual,risk_weighted_miss,-0.008236288344860078,-0.01210738399028778,-0.00411971964597702
Amazon-VideoGames,Guarded-OC-Quota,overall,Primal-Dual,compliant,-0.0016,-0.005804999999999999,0.0024
