dataset,method,cand_n,B,target_tau,highrisk_threshold,B_table,B_record,B_source,compliance_mean,hit_mean,recall_mean,ndcg_mean,served_risk_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,highrisk_compliance_mean,highrisk_hit_mean,highrisk_ndcg_mean,highrisk_bad_exposure_rate,highrisk_weighted_bad_exposure_mean,highrisk_risk_weighted_miss_mean,reward_gap_to_oracle_mean
Amazon-VideoGames,Penalty,17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9,0.0566,0.0566,0.028091016541037378,0.7524600603461266,0.0992,0.05404387686252594,0.7235676751092076,0.5,0.021,0.010228589876120516,0.496,0.2702193843126297,1.5596422224640847,0.0652856692552568
Amazon-VideoGames,Primal-Dual,17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.902,0.0566,0.0566,0.02807601073393515,0.9410219752863049,0.0968,0.1384195702791214,0.907288742056489,0.51,0.019,0.008570476273165841,0.484,0.692097851395607,2.0756907645463945,0.0040374916553505
Amazon-VideoGames,QuotaGateV6,17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9006,0.0566,0.0566,0.02807601073393515,0.9400579539254308,0.0984,0.13725502064228057,0.9063813670188189,0.503,0.019,0.008570476273165841,0.492,0.686275103211403,2.0711538893580435,0.004448503541946813
Amazon-VideoGames,OC-Quota,17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9002,0.0564,0.0564,0.02803887088346388,0.830961760802567,0.0968,0.028995139026641845,0.7976733563214541,0.501,0.018,0.008384777020809447,0.484,0.14497569513320924,1.5276138358712197,0.09318719696998645
Amazon-VideoGames,Guarded-OC-Quota,17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9004,0.0566,0.0566,0.028053381295382065,0.9325961150839924,0.0982,0.1298755866765976,0.8990524537116289,0.502,0.019,0.008457329080400382,0.491,0.649377933382988,2.034509322822094,0.00692780828476014
ML-1M,Penalty,3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03532821347380057,1.3526033755771465,0.09726594863297432,0.04412744188664271,1.2782664800354442,0.5004142502071252,0.029826014913007456,0.012885236088028698,0.4863297431648716,0.22063720943321352,2.3311463791472713,0.0377454439272249
ML-1M,Primal-Dual,3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.899751449875725,0.07141673570836786,0.07141673570836786,0.034585581502488166,1.5807092022913096,0.09809444904722453,0.09987705699253795,1.495546075480727,0.4987572493786247,0.02899751449875725,0.012213353583719585,0.4904722452361226,0.4993852849626897,2.7190758511362336,0.0002764304413123142
ML-1M,QuotaGateV6,3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,1.5810441663703252,0.09743164871582435,0.10023582438743106,1.495685232326376,0.5004142502071252,0.02899751449875725,0.012242890466365485,0.4871582435791218,0.5011791219371553,2.7197716353644785,0.0001947112190094913
ML-1M,OC-Quota,3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,1.5001970668654354,0.09710024855012428,0.023350418172992757,1.4172340021895395,0.5004142502071252,0.026512013256006627,0.011958463230918408,0.4855012427506214,0.11675209086496378,2.327515484680296,0.0355048835425702
ML-1M,Guarded-OC-Quota,3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.07108533554266777,0.07108533554266777,0.03454635872178248,1.562853247607505,0.0975973487986744,0.08189508220037353,1.4792103725111276,0.5004142502071252,0.027340513670256836,0.012017239680191166,0.487986743993372,0.40947541100186763,2.6373973362882372,0.0036006214802384306
ML-20M,Penalty,20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9,0.0834,0.0834,0.040081404742768674,0.6179762585505844,0.0968,0.01906023469448088,0.5760260943174362,0.5,0.039,0.01665502856701844,0.484,0.0953011734724044,0.958416651070118,0.01795592491626863
ML-20M,Primal-Dual,20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.8998,0.0822,0.0822,0.04009326499218873,0.6931792589783669,0.0974,0.04167822164535521,0.6473377051070333,0.499,0.039,0.016304970525784546,0.487,0.20839110822677603,1.1067742423415183,0.00014952783584654128
ML-20M,QuotaGateV6,20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.0822,0.0822,0.04011837641584636,0.6930342493653298,0.0966,0.04148982828617095,0.6471076067999005,0.501,0.039,0.0164305276440727,0.483,0.2074491414308547,1.1056237508058548,0.0002097927093505092
ML-20M,OC-Quota,20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.0822,0.0822,0.04011576605977278,0.6585010301470756,0.0958,0.008359132461547838,0.6133487662509084,0.501,0.039,0.016417475863704845,0.479,0.04179566230773919,0.936829548060894,0.025069210052491187
ML-20M,Guarded-OC-Quota,20720,0.9630447268486024,0.9,0.9630447268486023,0.9630447268486024,0.0,cand_table,0.9002,0.0824,0.0824,0.04016572640307869,0.6815240588188172,0.096,0.02965657273530959,0.6355933561041951,0.501,0.04,0.016667277580234376,0.48,0.14828286367654792,1.0480524973273277,0.0044490429878241144
