dataset,scope,comparator,metric,ocquota_minus_comp_mean,ci_low,ci_high
Amazon-VideoGames,overall,Penalty,bad_exposure,-0.0024,-0.01261,0.0086
Amazon-VideoGames,overall,Penalty,weighted_bad_exposure,-0.02436682825088501,-0.03171357457637787,-0.01729982994019986
Amazon-VideoGames,overall,Penalty,risk_weighted_miss,0.0747578933313489,0.06459105004679411,0.083673239576146
Amazon-VideoGames,overall,Penalty,compliant,0.0002,-0.010805,0.0106
Amazon-VideoGames,overall,Penalty,hit,0.0,-0.002,0.0024
Amazon-VideoGames,overall,Penalty,ndcg,5.667307690074486e-06,-0.0008207402407891302,0.0010360664141448872
Amazon-VideoGames,highrisk,Penalty,bad_exposure,-0.012,-0.065025,0.045024999999999975
Amazon-VideoGames,highrisk,Penalty,weighted_bad_exposure,-0.12183414125442504,-0.15778957291841506,-0.08676332315206532
Amazon-VideoGames,highrisk,Penalty,risk_weighted_miss,-0.0287673259973526,-0.07372206425964832,0.015790245081484286
Amazon-VideoGames,highrisk,Penalty,compliant,0.001,-0.061,0.05404999999999995
Amazon-VideoGames,highrisk,Penalty,hit,-0.002,-0.007,0.003
Amazon-VideoGames,highrisk,Penalty,ndcg,-0.00155474802899318,-0.003850904697837713,0.0008153967109804712
Amazon-VideoGames,overall,Primal-Dual,bad_exposure,0.0,-0.0096,0.0112
Amazon-VideoGames,overall,Primal-Dual,weighted_bad_exposure,-0.10874252166748047,-0.12242907267093658,-0.09351269943833353
Amazon-VideoGames,overall,Primal-Dual,risk_weighted_miss,-0.10896317361593247,-0.12381503100454808,-0.09319436349630357
Amazon-VideoGames,overall,Primal-Dual,compliant,-0.0018,-0.013604999999999999,0.008004999999999996
Amazon-VideoGames,overall,Primal-Dual,hit,0.0,-0.0004,0.0006
Amazon-VideoGames,overall,Primal-Dual,ndcg,2.067311479229922e-05,-0.00018837259482147123,0.0002608148745326104
Amazon-VideoGames,highrisk,Primal-Dual,bad_exposure,0.0,-0.050025,0.052024999999999974
Amazon-VideoGames,highrisk,Primal-Dual,weighted_bad_exposure,-0.5437126083374023,-0.6096785219430924,-0.4754625449389219
