dataset,method,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,highrisk_weighted_bad_exposure_mean,compliance_mean,hit_mean,ndcg_mean
Amazon-VideoGames,Penalty,0.0992,0.05404387686252594,0.7235676751092076,0.2702193843126297,0.9,0.0566,0.028091016541037378
Amazon-VideoGames,Primal-Dual,0.0968,0.1384195702791214,0.907288742056489,0.692097851395607,0.902,0.0566,0.02807601073393515
Amazon-VideoGames,QuotaGateV6,0.0984,0.13725502064228057,0.9063813670188189,0.686275103211403,0.9006,0.0566,0.02807601073393515
Amazon-VideoGames,OC-Quota,0.0968,0.02967704861164093,0.7983255684405566,0.14838524305820466,0.9002,0.0566,0.028096683848727457
ML-1M,Penalty,0.09726594863297432,0.04412744188664271,1.2782664800354442,0.22063720943321352,0.9000828500414251,0.07141673570836786,0.03532821347380057
ML-1M,Primal-Dual,0.09809444904722453,0.09987705699253795,1.495546075480727,0.4993852849626897,0.899751449875725,0.07141673570836786,0.034585581502488166
ML-1M,QuotaGateV6,0.09743164871582435,0.10023582438743106,1.495685232326376,0.5011791219371553,0.9000828500414251,0.07141673570836786,0.03459148887901735
ML-1M,OC-Quota,0.09710024855012428,0.023350418172992757,1.4172340021895395,0.11675209086496378,0.9000828500414251,0.07091963545981773,0.034534603431927935
ML-20M,Penalty,0.0968,0.01906023469448088,0.5760260943174362,0.0953011734724044,0.9,0.0834,0.040081404742768674
ML-20M,Primal-Dual,0.0974,0.04167822164535521,0.6473377051070333,0.20839110822677603,0.8998,0.0822,0.04009326499218873
ML-20M,QuotaGateV6,0.0966,0.04148982828617095,0.6471076067999005,0.2074491414308547,0.9002,0.0822,0.04011837641584636
ML-20M,OC-Quota,0.0958,0.008359132461547838,0.6133487662509084,0.04179566230773919,0.9002,0.0822,0.04011576605977278
