dataset,t,method,tau,B,cand_n,n_chunk,compliance,viol_rate,mean_reward,reward_gap_to_oracle,hit,ndcg,mean_list_risk,p95_risk,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean
Amazon-VideoGames,0,Penalty,0.9,1.4568411111831665,17286,100,0.8,0.19999999999999996,6.456136054992676,0.011570725440979146,0.02,0.013333333333333332,1.0893106147646905,2.261699616909027,0.2,0.11427674055099488,1.0739014521241188
Amazon-VideoGames,0,Primal-Dual,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,6.486580338478088,-0.018873558044433025,0.02,0.008562071871080221,1.2609257313609123,2.6982869148254394,0.11,0.15388335824012755,1.2391714546084405
Amazon-VideoGames,0,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,6.488003268241882,-0.020296487808226793,0.02,0.008562071871080221,1.2496799954771995,2.6742596507072447,0.11,0.14378778338432313,1.2279257187247277
Amazon-VideoGames,0,OC-Quota,0.9,1.4568411111831665,17286,100,0.84,0.16000000000000003,6.349896566867828,0.11781021356582677,0.02,0.008562071871080221,1.159430693089962,1.727747744321823,0.15,0.05226778745651245,1.136585211455822
Amazon-VideoGames,1,Penalty,0.9,1.4568411111831665,17286,100,0.79,0.20999999999999996,5.57052835226059,0.05029653429985004,0.05,0.019002971771145672,1.0868394239246846,2.312655937671661,0.21,0.11120620250701904,1.04561515673995
Amazon-VideoGames,1,Primal-Dual,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,5.631067949533462,-0.010243062973022354,0.04,0.016223981596512213,1.301436375975609,3.0701761126518243,0.1,0.17367948532104494,1.2571344572305678
Amazon-VideoGames,1,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,5.631067949533462,-0.010243062973022354,0.04,0.016223981596512213,1.301436375975609,3.0701761126518243,0.1,0.17367948532104494,1.2571344572305678
Amazon-VideoGames,1,OC-Quota,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.471531406641007,0.1492934799194332,0.04,0.016045297031036167,1.1488109105825424,1.5945009946823119,0.1,0.018850454092025758,1.1039769011735916
Amazon-VideoGames,2,Penalty,0.9,1.4568411111831665,17286,100,0.88,0.12,5.53574848651886,0.07110856533050569,0.08,0.03200975037869249,0.993788868188858,1.8653739213943479,0.12,0.052107220888137816,0.9217412799596787
Amazon-VideoGames,2,Primal-Dual,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.590717077255249,0.016139974594116424,0.07,0.031379996393207474,1.1618478932976724,2.094604420661925,0.06,0.09150293350219726,1.0885242494940757
Amazon-VideoGames,2,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.95,0.050000000000000044,5.583511447906494,0.023345603942871662,0.07,0.031379996393207474,1.1513735964894294,1.48640870451927,0.05,0.08175013661384582,1.078049952685833
Amazon-VideoGames,2,OC-Quota,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.506513772010803,0.10034327983856262,0.07,0.031379996393207474,1.082842108309269,1.5479502022266387,0.08,0.009940930604934693,1.0095184645056725
Amazon-VideoGames,3,Penalty,0.9,1.4568411111831665,17286,100,0.82,0.18000000000000005,5.537547149658203,0.05514581918716388,0.04,0.01793312865382225,1.0325536432862281,2.133630156517029,0.18,0.09531675815582276,1.00151319950819
Amazon-VideoGames,3,Primal-Dual,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.609431273937226,-0.016738305091858585,0.04,0.029463946303571867,1.2618708269298076,2.814625895023346,0.11,0.1916227424144745,1.2224813245236874
Amazon-VideoGames,3,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.609431273937226,-0.016738305091858585,0.04,0.029463946303571867,1.2618708269298076,2.814625895023346,0.11,0.1916227424144745,1.2224813245236874
Amazon-VideoGames,3,OC-Quota,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.468848040103913,0.12384492874145447,0.04,0.029463946303571867,1.0857028441131116,1.5247536182403558,0.08,0.0175291645526886,1.0463133417069912
Amazon-VideoGames,4,Penalty,0.9,1.4568411111831665,17286,100,0.85,0.15000000000000002,6.898201034069062,0.05937064170837392,0.12,0.06765403196199053,0.8886566775292158,1.9876260757446287,0.15,0.11545584678649902,0.8183399336785078
Amazon-VideoGames,4,Primal-Dual,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,6.962773640155792,-0.005201964378356294,0.12,0.06017159287620505,1.118951097652316,3.5046426057815507,0.1,0.2612583661079407,1.0384857631474733
Amazon-VideoGames,4,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,6.965296471118927,-0.007724795341491841,0.12,0.06017159287620505,1.1330996929854154,3.5046426057815507,0.1,0.27454314470291136,1.0526343584805726
Amazon-VideoGames,4,OC-Quota,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,6.785855066776276,0.1717166090011597,0.12,0.06017159287620505,0.8686815320700407,1.4668149709701537,0.05,0.011415945291519165,0.7862686348706484
Amazon-VideoGames,5,Penalty,0.9,1.4568411111831665,17286,100,0.83,0.17000000000000004,6.805318140983582,0.05935229539871223,0.06,0.038188125564699804,0.8628873902559281,2.0871143579483027,0.17,0.08507754564285279,0.8165018492937088
Amazon-VideoGames,5,Primal-Dual,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,6.883287870883942,-0.018617434501647878,0.06,0.032933128653822245,1.1024499695748091,3.39547369480133,0.11,0.21371203541755676,1.0475612898916007
Amazon-VideoGames,5,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.87,0.13,6.902245953083038,-0.03757551670074388,0.06,0.032933128653822245,1.134523261114955,3.39547369480133,0.13,0.2438383162021637,1.0796345814317465
Amazon-VideoGames,5,OC-Quota,0.9,1.4568411111831665,17286,100,0.95,0.050000000000000044,6.733343884944916,0.13132655143737804,0.06,0.032933128653822245,0.8876358490437269,1.4571285188198089,0.04,0.006882330179214477,0.831627664193511
Amazon-VideoGames,6,Penalty,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,6.871451375484466,0.041417443752289174,0.07,0.05181854087032261,0.6255420596152544,1.7796684384346007,0.09,0.03468506217002869,0.6040792383998632
Amazon-VideoGames,6,Primal-Dual,0.9,1.4568411111831665,17286,100,0.96,0.040000000000000036,6.893984403610229,0.018884415626525985,0.08,0.05339989159778691,0.737300528511405,1.4325758159160613,0.04,0.08850127458572388,0.7005170839279891
Amazon-VideoGames,6,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.97,0.030000000000000027,6.886820697784424,0.026048121452331152,0.08,0.05339989159778691,0.7198563947528601,1.4323457539081574,0.03,0.07125176548957825,0.6830729501694441
Amazon-VideoGames,6,OC-Quota,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,6.848133177757263,0.0647356414794924,0.08,0.05339989159778691,0.6635271169990301,1.486951023340225,0.06,0.00984851598739624,0.6267436724156141
Amazon-VideoGames,7,Penalty,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,6.667127814292908,0.05502103328704866,0.05,0.022831615391163768,0.6486274512857199,1.676585966348648,0.08,0.03780672073364258,0.6245570077747107
Amazon-VideoGames,7,Primal-Dual,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,6.71802258014679,0.004126267433166575,0.05,0.023576863876419548,0.794810044541955,2.054340994358063,0.07,0.10503642916679383,0.768889197781682
