dataset,comparator,metric,ocquota_minus_comp_seq_mean,ci_low,ci_high
Amazon-VideoGames,Penalty,compliance,0.00020000000000000017,-0.01479999999999998,0.013604999999999996
Amazon-VideoGames,Penalty,reward_gap_to_oracle,0.026267545294761607,0.015000626960098658,0.039276306052803966
Amazon-VideoGames,Penalty,weighted_bad_exposure_mean,-0.024366828250885007,-0.034581862953305245,-0.014725673005580904
Amazon-VideoGames,Penalty,bad_exposure_rate,-0.002400000000000001,-0.01621,0.012004999999999995
Amazon-VideoGames,Penalty,hit,6.938893903907229e-19,-0.0024049999999999996,0.0026000000000000007
Amazon-VideoGames,Penalty,ndcg,5.667307690073904e-06,-0.0010375953566622942,0.001229735902205537
Amazon-VideoGames,Primal-Dual,compliance,-0.001800000000000006,-0.01160500000000001,0.007804999999999992
Amazon-VideoGames,Primal-Dual,reward_gap_to_oracle,0.08751572289466855,0.07571956658363346,0.10230284583806981
Amazon-VideoGames,Primal-Dual,weighted_bad_exposure_mean,-0.10874252166748047,-0.12682211624741555,-0.09156795830965042
Amazon-VideoGames,Primal-Dual,bad_exposure_rate,-1.942890293094024e-18,-0.01001,0.010399999999999994
Amazon-VideoGames,Primal-Dual,hit,0.0,0.0,0.0
Amazon-VideoGames,Primal-Dual,ndcg,2.067311479229929e-05,-7.024035797618761e-05,0.00015162047699078627
Amazon-VideoGames,QuotaGateV6,compliance,-0.00040000000000000034,-0.011599999999999997,0.010204999999999999
Amazon-VideoGames,QuotaGateV6,reward_gap_to_oracle,0.0871047110080719,0.07437352317094802,0.10169988542556749
Amazon-VideoGames,QuotaGateV6,weighted_bad_exposure_mean,-0.10757797203063965,-0.12606060136318206,-0.09128563037633895
Amazon-VideoGames,QuotaGateV6,bad_exposure_rate,-0.0015999999999999999,-0.012209999999999999,0.00960999999999999
Amazon-VideoGames,QuotaGateV6,hit,0.0,0.0,0.0
Amazon-VideoGames,QuotaGateV6,ndcg,2.067311479229929e-05,-7.024035797618761e-05,0.00015162047699078627
ML-1M,Penalty,compliance,4.132231404958553e-06,-0.010967940771349858,0.011989566115702463
ML-1M,Penalty,reward_gap_to_oracle,-0.002239943847840209,-0.0066036742875892115,0.0019530601243014222
ML-1M,Penalty,weighted_bad_exposure_mean,-0.02078201505073831,-0.026986159232652882,-0.014918439214495587
ML-1M,Penalty,bad_exposure_rate,-0.00017217630853994526,-0.011466253443526173,0.00996077823691459
ML-1M,Penalty,hit,-0.0005027548209366392,-0.0031515151515151513,0.0023102617079889805
ML-1M,Penalty,ndcg,-0.00079320898465365,-0.0016622128041666373,7.831439133565169e-05
ML-1M,Primal-Dual,compliance,0.00032644628099173236,-0.010986294765840222,0.010148140495867744
ML-1M,Primal-Dual,reward_gap_to_oracle,0.035231027124341736,0.03045968972308245,0.039946914720534965
ML-1M,Primal-Dual,weighted_bad_exposure_mean,-0.0765316356677326,-0.08553747741280017,-0.06695036062551267
ML-1M,Primal-Dual,bad_exposure_rate,-0.0009889807162534433,-0.010956577134986226,0.00932472451790633
ML-1M,Primal-Dual,hit,-0.0004986225895316804,-0.0014945247933884297,0.00033064738292011016
ML-1M,Primal-Dual,ndcg,-5.1609245147287087e-05,-0.0005365933837309239,0.00037357438176445555
ML-1M,QuotaGateV6,compliance,-1.1019283746558361e-05,-0.01128288567493113,0.010807196969696927
ML-1M,QuotaGateV6,reward_gap_to_oracle,0.03531125900371006,0.030252241582679945,0.040130917238400884
ML-1M,QuotaGateV6,weighted_bad_exposure_mean,-0.07688665426407963,-0.08667518583277203,-0.066532075820025
ML-1M,QuotaGateV6,bad_exposure_rate,-0.0003209366391184579,-0.011591597796143249,0.010129820936639097
ML-1M,QuotaGateV6,hit,-0.0004986225895316804,-0.0014945247933884297,0.00033064738292011016
