dataset,method,tau_target,compliance_mean,compliance_min,tau_tracking_mae,reward_mean,reward_gap_to_oracle_mean,reward_gap_to_oracle_max,reward_ratio_to_oracle_mean,ms_per_user,overhead_vs_mu,abs_tau_error_pct,reward_gap_bp,runtime_us_per_user
Amazon-VideoGames,Hard,0.9,1.0,1.0,0.0999999999999999,0.9980572056770324,6.563663482664684e-05,0.0003032088279724,0.9999341698031522,0.1238290309906,5.786925905292452,9.99999999999999,0.6563663482664683,123.8290309906
Amazon-VideoGames,Mu-only,0.9,0.7348599999999998,0.709,0.16514,0.9981186175346376,4.224777221677467e-06,0.0001527070999146,0.9999957564262648,0.0213980674743652,1.0,16.514,0.04224777221677467,21.3980674743652
Amazon-VideoGames,Penalty,0.9,0.78248,0.766,0.11752,0.998117643594742,5.19871711730735e-06,0.0002061724662779,0.9999947942447336,0.0302794456481933,1.4150551532033426,11.752,0.0519871711730735,30.2794456481933
Amazon-VideoGames,Primal-Dual,0.9,0.9003400000000003,0.896,0.0013,0.8410025691986084,0.1571202731132507,0.3308812975883484,0.842485280721196,0.1659224668517,7.754086533771061,0.13,1571.2027311325069,165.9224668517
Amazon-VideoGames,QuotaGateV6,0.9,0.90134,0.901,0.00134,0.9981263840198517,-3.5417079925670336e-06,0.0001841187477111,1.0000035368226738,0.1905597686767,8.905466295261922,0.134,-0.035417079925670336,190.5597686767
ML-1M,Hard,0.9,0.99994,0.998,0.0999399999999999,0.9981087827682495,0.0001400136947631,0.0030938386917112,0.9998576618073052,0.1081825389087,4.73405204306401,9.993999999999991,1.400136947631,108.1825389087
ML-1M,Mu-only,0.9,0.8491699999999999,0.8,0.05083,0.9982070767879486,4.171967506406471e-05,0.0001887679100036,0.999958385021786,0.0228519961176179,1.0,5.083,0.4171967506406471,22.8519961176179
ML-1M,Penalty,0.9,0.9078,0.8835,0.0089799999999999,0.9983111143112182,-6.231784820556418e-05,0.0002075433731077,1.0000625116490842,0.0220727406954508,0.9658998969649611,0.8979999999999899,-0.6231784820556419,22.0727406954508
ML-1M,Primal-Dual,0.9,0.92582,0.9,0.02582,0.8769507920742035,0.1212980043888092,0.4711582660675047,0.8781556347907101,0.1485448728786,6.500301860461027,2.582,1212.980043888092,148.5448728786
ML-1M,QuotaGateV6,0.9,0.89976,0.898,0.00076,0.9982116222381592,3.717422485349564e-05,0.0002156496047973,0.9999629625494026,0.1608867534646,7.040380745582354,0.076,0.3717422485349564,160.8867534646
ML-20M,Hard,0.9,1.0,1.0,0.0999999999999999,0.9961403262615204,0.0001220297813415,0.0003730058670043,0.999877455509694,0.122649860382,5.655932326375958,9.99999999999999,1.220297813415,122.649860382
ML-20M,Mu-only,0.9,0.7431,0.729,0.1569,0.996295589208603,-3.323316574095347e-05,9.030103683482782e-05,1.0000333413902076,0.0216851711273193,1.0,15.690000000000001,-0.33233165740953474,21.6851711273193
ML-20M,Penalty,0.9,0.86662,0.856,0.03358,0.9961193478107452,0.0001430082321167,0.0065627098083496,0.9998554692953796,0.0303135871887207,1.3978947646177966,3.3579999999999997,1.430082321167,30.3135871887207
ML-20M,Primal-Dual,0.9,0.9004599999999999,0.897,0.00114,0.8302936750650406,0.1659686809778213,0.5056684315204623,0.8333162060837913,0.1644952463917,7.585609789561041,0.11399999999999999,1659.686809778213,164.4952463917
ML-20M,QuotaGateV6,0.9,0.90118,0.9,0.00118,0.9962425601482392,1.979589462283604e-05,0.0002193450927736,0.9999801272381474,0.1768861293792,8.157008692283545,0.11800000000000001,0.1979589462283604,176.8861293792
