dataset,scope,comparator,metric,quota_minus_comp_mean,ci_low,ci_high
Amazon-VideoGames,overall,Penalty,bad_exposure,-0.0008,-0.006205,0.004009999999999991
Amazon-VideoGames,overall,Penalty,weighted_bad_exposure,0.08321114377975464,0.0719385424208641,0.09417122609972953
Amazon-VideoGames,overall,Penalty,risk_weighted_miss,0.18281369190961122,0.1723171210827306,0.1943185684846714
Amazon-VideoGames,overall,Penalty,compliant,0.0006,-0.0044,0.006
Amazon-VideoGames,overall,Penalty,hit,0.0,-0.002,0.0022049999999999956
Amazon-VideoGames,overall,Penalty,ndcg,-1.5005807102224766e-05,-0.0008366818096303743,0.0009332356350846355
Amazon-VideoGames,highrisk,Penalty,bad_exposure,-0.004,-0.030024999999999996,0.019024999999999976
Amazon-VideoGames,highrisk,Penalty,weighted_bad_exposure,0.4160557188987732,0.37104709537923336,0.4581276097595691
Amazon-VideoGames,highrisk,Penalty,risk_weighted_miss,0.511511666893959,0.46516902829408646,0.5525770651668309
Amazon-VideoGames,highrisk,Penalty,compliant,0.003,-0.021,0.029024999999999978
Amazon-VideoGames,highrisk,Penalty,hit,-0.002,-0.007,0.003
Amazon-VideoGames,highrisk,Penalty,ndcg,-0.001658113602954676,-0.003550001503374645,0.00020538149831573617
Amazon-VideoGames,overall,Primal-Dual,bad_exposure,0.0016,-0.002005,0.0052
Amazon-VideoGames,overall,Primal-Dual,weighted_bad_exposure,-0.0011645496368408203,-0.0038074707424640654,0.0012548241698741908
Amazon-VideoGames,overall,Primal-Dual,risk_weighted_miss,-0.0009073750376701355,-0.0036902302640676498,0.0017204996010661113
Amazon-VideoGames,overall,Primal-Dual,compliant,-0.0014,-0.005005,0.0022049999999999956
Amazon-VideoGames,overall,Primal-Dual,hit,0.0,0.0,0.0
Amazon-VideoGames,overall,Primal-Dual,ndcg,0.0,0.0,0.0
Amazon-VideoGames,highrisk,Primal-Dual,bad_exposure,0.008,-0.009,0.026
Amazon-VideoGames,highrisk,Primal-Dual,weighted_bad_exposure,-0.005822748184204102,-0.018289291620254517,0.006241981795430181
Amazon-VideoGames,highrisk,Primal-Dual,risk_weighted_miss,-0.004536875188350677,-0.01808082672059536,0.009507515844702719
Amazon-VideoGames,highrisk,Primal-Dual,compliant,-0.007,-0.025025,0.010024999999999977
Amazon-VideoGames,highrisk,Primal-Dual,hit,0.0,0.0,0.0
Amazon-VideoGames,highrisk,Primal-Dual,ndcg,0.0,0.0,0.0
ML-1M,overall,Penalty,bad_exposure,0.00016570008285004143,-0.0034797017398508698,0.004312344656172324
ML-1M,overall,Penalty,weighted_bad_exposure,0.056108382500788354,0.05059873604734969,0.0609833578306876
ML-1M,overall,Penalty,risk_weighted_miss,0.21741875229093194,0.20985803613483953,0.22477811512893006
ML-1M,overall,Penalty,compliant,0.0,-0.004142502071251036,0.0036454018227009112
ML-1M,overall,Penalty,hit,0.0,-0.0024855012427506215,0.002982601491300746
ML-1M,overall,Penalty,ndcg,-0.0007367245947832265,-0.0017073354796329821,0.00046754942842007756
ML-1M,highrisk,Penalty,bad_exposure,0.0008285004142502071,-0.02236951118475559,0.01988400994200497
ML-1M,highrisk,Penalty,weighted_bad_exposure,0.2805419125039418,0.2573975163130298,0.3039542479355076
ML-1M,highrisk,Penalty,risk_weighted_miss,0.3886252562172075,0.36311757877382644,0.4145335967741234
ML-1M,highrisk,Penalty,compliant,0.0,-0.019055509527754765,0.0231980115990058
ML-1M,highrisk,Penalty,hit,-0.0008285004142502071,-0.004971002485501243,0.0033140016570008283
ML-1M,highrisk,Penalty,ndcg,-0.0006423456216632146,-0.0022912101338511664,0.0008812266670507064
ML-1M,overall,Primal-Dual,bad_exposure,-0.0006628003314001657,-0.0033140016570008283,0.0021541010770505385
ML-1M,overall,Primal-Dual,weighted_bad_exposure,0.00035876739489311237,-0.000999431245467242,0.0019330541951259295
ML-1M,overall,Primal-Dual,risk_weighted_miss,0.00013915684564901762,-0.0015474811070401904,0.002039001309980315
ML-1M,overall,Primal-Dual,compliant,0.00033140016570008286,-0.00231980115990058,0.0028169014084507044
ML-1M,overall,Primal-Dual,hit,0.0,0.0,0.0
ML-1M,overall,Primal-Dual,ndcg,5.907376529180408e-06,-5.921609460680878e-06,2.660454377856254e-05
ML-1M,highrisk,Primal-Dual,bad_exposure,-0.0033140016570008283,-0.016570008285004142,0.009113504556752278
ML-1M,highrisk,Primal-Dual,weighted_bad_exposure,0.0017938369744655617,-0.006164979510990766,0.008150068933349457
