dataset,method,highrisk_cohort,served_risk,hit,bad_exposure
Amazon-VideoGames,Penalty,1.0,2.5258705615997314,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.7438817024230957,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.5934937000274658,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.37143445014953613,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.5484892129898071,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.8563519716262817,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.2845547199249268,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7638595104217529,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.3356730043888092,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.042072057723999,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.2551321983337402,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.38940006494522095,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6059240102767944,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8874562978744507,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.272556781768799,0.0,1.0
Amazon-VideoGames,Penalty,0.0,1.1040303707122803,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.292470932006836,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5088908672332764,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.2377818822860718,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.545912265777588,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.0699810981750488,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8433137536048889,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9736759662628174,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.818101644515991,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.5597635507583618,0.0,1.0
Amazon-VideoGames,Penalty,0.0,1.0682727098464966,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6818161606788635,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5973433256149292,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.385981559753418,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.816853940486908,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.2884265184402466,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.2043925523757935,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8338092565536499,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.1570262908935547,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5683602094650269,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.4405841827392578,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.868752121925354,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6067544221878052,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.49861493706703186,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.533836603164673,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.48379212617874146,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9845728278160095,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.4281034469604492,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.8824255466461182,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.5963213443756104,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.1132097244262695,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0918643474578857,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.2922897338867188,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9442971348762512,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.48371851444244385,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.564752459526062,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5607344508171082,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9420384764671326,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.49321234226226807,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6975981593132019,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.820237159729004,0.0,1.0
Amazon-VideoGames,Penalty,0.0,1.2479093074798584,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8286542892456055,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.5578203201293945,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.5796011686325073,0.0,0.0
Amazon-VideoGames,Penalty,1.0,0.8961812257766724,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.6221420764923096,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.9681456089019775,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.2611281871795654,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.9293789863586426,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.6389606595039368,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5610597729682922,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.336938500404358,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.267587661743164,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0703092813491821,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.0378566980361938,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6896646022796631,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.1573009490966797,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.5731330513954163,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9438138604164124,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.931480884552002,0.0,1.0
Amazon-VideoGames,Penalty,1.0,0.8885706067085266,1.0,0.0
