dataset,section,method,tau_tracking_mae,compliance_mean,compliance_min,reward_mean,reward_gap_mean,reward_gap_max,reward_ratio_mean,sec_per_user,ms_per_user,overhead_vs_mu
Amazon-VideoGames,feedback_tracking,Penalty,0.11752000000000003,0.78248,0.766,0.9981176435947419,,,,,,
Amazon-VideoGames,feedback_tracking,Primal-Dual,0.0013000000000000012,0.9003400000000003,0.896,0.8410025691986084,,,,,,
Amazon-VideoGames,feedback_tracking,QuotaGateV6,0.0013400000000000011,0.90134,0.901,0.9981263840198517,,,,,,
ML-1M,feedback_tracking,Penalty,0.008979999999999993,0.9078,0.8835,0.9983111143112182,,,,,,
ML-1M,feedback_tracking,Primal-Dual,0.02582,0.9258200000000001,0.9,0.8769507920742035,,,,,,
ML-1M,feedback_tracking,QuotaGateV6,0.0007600000000000007,0.89976,0.898,0.9982116222381592,,,,,,
ML-20M,feedback_tracking,Penalty,0.03358000000000003,0.86662,0.856,0.9961193478107453,,,,,,
ML-20M,feedback_tracking,Primal-Dual,0.001140000000000001,0.9004599999999999,0.897,0.8302936750650406,,,,,,
ML-20M,feedback_tracking,QuotaGateV6,0.0011800000000000011,0.9011800000000001,0.9,0.9962425601482391,,,,,,
Amazon-VideoGames,feedback_oracle_gap,QuotaGateV6,,,,,,,,,,
Amazon-VideoGames,feedback_oracle_gap,Primal-Dual,,,,,,,,,,
Amazon-VideoGames,feedback_oracle_gap,Penalty,,,,,,,,,,
Amazon-VideoGames,feedback_oracle_gap,Hard,,,,,,,,,,
ML-1M,feedback_oracle_gap,QuotaGateV6,,,,,,,,,,
ML-1M,feedback_oracle_gap,Primal-Dual,,,,,,,,,,
ML-1M,feedback_oracle_gap,Penalty,,,,,,,,,,
ML-1M,feedback_oracle_gap,Hard,,,,,,,,,,
ML-20M,feedback_oracle_gap,QuotaGateV6,,,,,,,,,,
ML-20M,feedback_oracle_gap,Primal-Dual,,,,,,,,,,
ML-20M,feedback_oracle_gap,Penalty,,,,,,,,,,
ML-20M,feedback_oracle_gap,Hard,,,,,,,,,,
Amazon-VideoGames,runtime,Penalty,,,,,,,,3.027944564819336e-05,0.03027944564819336,
Amazon-VideoGames,runtime,Primal-Dual,,,,,,,,0.00016592246685177088,0.16592246685177087,
Amazon-VideoGames,runtime,Hard,,,,,,,,0.0001238290309906,0.1238290309906,
Amazon-VideoGames,runtime,QuotaGateV6,,,,,,,,0.0001905597686767,0.19055976867670002,
ML-1M,runtime,Penalty,,,,,,,,2.207274069545085e-05,0.02207274069545085,
ML-1M,runtime,Primal-Dual,,,,,,,,0.00014854487287869805,0.14854487287869805,
ML-1M,runtime,Hard,,,,,,,,0.0001081825389087,0.1081825389087,
ML-1M,runtime,QuotaGateV6,,,,,,,,0.0001608867534646,0.1608867534646,
ML-20M,runtime,Penalty,,,,,,,,3.0313587188720704e-05,0.030313587188720705,
ML-20M,runtime,Primal-Dual,,,,,,,,0.00016449524639174342,0.16449524639174343,
ML-20M,runtime,Hard,,,,,,,,0.000122649860382,0.122649860382,
ML-20M,runtime,QuotaGateV6,,,,,,,,0.0001768861293792,0.1768861293792,
