dataset,cand_n,RetrievalHit_at_N,Compliance_quota,Recall,NDCG,ProxyUtility_quota,Compliance_oracle,ProxyUtility_oracle,ProxyUtilityGap
ML-1M,200,0.5483015741507871,0.9000828500414251,0.07141673570836786,0.03459148887901735,10.540788400834913,0.9000828500414251,10.540983112053922,0.0001947112190094913
ML-1M,500,0.7446561723280861,0.9000828500414251,0.07141673570836786,0.03459148887901735,10.540788400834913,0.9000828500414251,10.540983112053922,0.0001947112190094913
ML-1M,1000,0.8720795360397681,0.9000828500414251,0.07141673570836786,0.03459148887901735,10.540788400834913,0.9000828500414251,10.540983112053922,0.0001947112190094913
ML-1M,3533,1.0,0.9000828500414251,0.07141673570836786,0.03459148887901735,10.540788400834913,0.9000828500414251,10.540983112053922,0.0001947112190094913
ML-20M,200,0.583,0.9002,0.0822,0.04011837641584636,9.814512286853791,0.9002,9.814722079563142,0.0002097927093505092
ML-20M,500,0.7616,0.9002,0.0822,0.04011837641584636,9.814512286853791,0.9002,9.814722079563142,0.0002097927093505092
ML-20M,1000,0.8624,0.9002,0.0822,0.04011837641584636,9.814512286853791,0.9002,9.814722079563142,0.0002097927093505092
ML-20M,5000,0.9626,0.9002,0.0822,0.04011837641584636,9.814512286853791,0.9002,9.814722079563142,0.0002097927093505092
ML-20M,10000,0.9688,0.9002,0.0822,0.04011837641584636,9.814512286853791,0.9002,9.814722079563142,0.0002097927093505092
ML-20M,20720,1.0,0.9002,0.0822,0.04011837641584636,9.814512286853791,0.9002,9.814722079563142,0.0002097927093505092
Amazon-VideoGames,200,0.2742,0.9006,0.0566,0.02807601073393515,6.035571497511864,0.9002,6.0400200010538105,0.004448503541946813
Amazon-VideoGames,500,0.3934,0.9006,0.0566,0.02807601073393515,6.035571497511864,0.9002,6.0400200010538105,0.004448503541946813
Amazon-VideoGames,1000,0.4986,0.9006,0.0566,0.02807601073393515,6.035571497511864,0.9002,6.0400200010538105,0.004448503541946813
Amazon-VideoGames,5000,0.7438,0.9006,0.0566,0.02807601073393515,6.035571497511864,0.9002,6.0400200010538105,0.004448503541946813
Amazon-VideoGames,10000,0.844,0.9006,0.0566,0.02807601073393515,6.035571497511864,0.9002,6.0400200010538105,0.004448503541946813
Amazon-VideoGames,17286,1.0,0.9006,0.0566,0.02807601073393515,6.035571497511864,0.9002,6.0400200010538105,0.004448503541946813
