dataset,method,sec_per_user
ML-1M,mu_only,2.285199611761793e-05
ML-1M,penalty,2.2072740695450854e-05
ML-1M,greedy,0.00011162232444023631
ML-1M,hard_bisection,0.00010818253890877434
ML-1M,QuotaGateV6_fullpass,0.00016088675346469326
ML-20M,mu_only,2.1685171127319336e-05
ML-20M,penalty,3.0313587188720704e-05
ML-20M,greedy,0.00017093253135681152
ML-20M,hard_bisection,0.00012264986038208007
ML-20M,QuotaGateV6_fullpass,0.00017688612937927247
Amazon-VideoGames,mu_only,2.1398067474365234e-05
Amazon-VideoGames,penalty,3.027944564819336e-05
Amazon-VideoGames,greedy,0.0002189643383026123
Amazon-VideoGames,hard_bisection,0.0001238290309906006
Amazon-VideoGames,QuotaGateV6_fullpass,0.0001905597686767578
