dataset,method,sec_per_user,eta0
ML-1M,mu_only,2.285199611761793e-05,
ML-1M,penalty,2.207274069545085e-05,
ML-1M,greedy,0.0001116223244402,
ML-1M,hard_bisection,0.0001081825389087,
ML-1M,QuotaGateV6_fullpass,0.0001608867534646,
ML-20M,mu_only,2.1685171127319336e-05,
ML-20M,penalty,3.0313587188720704e-05,
ML-20M,greedy,0.0001709325313568,
ML-20M,hard_bisection,0.000122649860382,
ML-20M,QuotaGateV6_fullpass,0.0001768861293792,
Amazon-VideoGames,mu_only,2.1398067474365234e-05,
Amazon-VideoGames,penalty,3.027944564819336e-05,
Amazon-VideoGames,greedy,0.0002189643383026,
Amazon-VideoGames,hard_bisection,0.0001238290309906,
Amazon-VideoGames,QuotaGateV6_fullpass,0.0001905597686767,
Amazon-VideoGames,PrimalDual_fullpass,0.00016592246685177088,2.0
ML-1M,PrimalDual_fullpass,0.00014854487287869805,0.5
ML-20M,PrimalDual_fullpass,0.00016449524639174342,0.25
