dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,lam,tune,val_compliance,mandatory_infeasible,discretionary_used,V_left_end,warmup
ML-1M,3533,3533,2.347123050689697,0.8,0.8,Baseline(mu-only),0.07058823529411765,0.034296528071027114,0.07058823529411765,0.034296528071027114,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.8,HardBisection,0.07174813587406793,0.03482365686338899,0.07174813587406793,0.03482365686338899,1.0,1.4622569187117591,2.3018548250198365,10.497955860021001,1.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.8,"PenaltyGrid, λ*=1.000",0.07141673570836786,0.03582918484233377,0.07141673570836786,0.03582918484233377,0.9948632974316487,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,1.0,grid,0.9948632974316487,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.8,"PenaltyBisect, λ=0.000",0.07058823529411765,0.034296528071027114,0.07058823529411765,0.034296528071027114,0.8,1.6207465699749637,3.253018617630005,10.54596199653518,1.0,0.00019073486328125,bisect,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.8,OracleGate,0.07075393537696768,0.03434442613669702,0.07075393537696768,0.03434442613669702,0.80016570008285,1.6208484877644735,3.253018617630005,10.545961915310889,1.0,,,,0.0,1206.0,,
ML-1M,3533,3533,2.347123050689697,0.8,0.8,QuotaGateV6,0.07058823529411765,0.034296528071027114,0.07058823529411765,0.034296528071027114,0.8013256006628003,1.6205953452677497,3.253018617630005,10.545954864441905,1.0,,,,,,7.0,0.0
ML-1M,3533,3533,2.347123050689697,0.8,0.85,Baseline(mu-only),0.07058823529411765,0.034296528071027114,0.07058823529411765,0.034296528071027114,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.85,HardBisection,0.07174813587406793,0.03482365686338899,0.07174813587406793,0.03482365686338899,1.0,1.4622569187117591,2.3018548250198365,10.497955860021001,1.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.85,"PenaltyGrid, λ*=1.000",0.07141673570836786,0.03582918484233377,0.07141673570836786,0.03582918484233377,0.9948632974316487,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,1.0,grid,0.9948632974316487,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.85,"PenaltyBisect, λ=0.148",0.07091963545981773,0.03508843903491355,0.07091963545981773,0.03508843903491355,0.8502071251035626,1.4927543366224487,2.982408595085144,10.536540626314126,1.0,0.1483917236328125,bisect,,,,,
