dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,lam,tune,val_compliance,mandatory_infeasible,discretionary_used,V_left_end,warmup,eta0,final_lambda,mean_du_positive,count_U_feasible,count_C_enforced,count_U_violate_by_choice,count_U_infeasible_region
ML-1M,3533,3533,2.347123050689697,0.8,0.8,Baseline(mu-only),0.0705882352941176,0.0342965280710271,0.0705882352941176,0.0342965280710271,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.8,HardBisection,0.0717481358740679,0.0348236568633889,0.0717481358740679,0.0348236568633889,1.0,1.4622569187117591,2.3018548250198365,10.497955860021,1.0,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.8,"PenaltyGrid, λ*=1.000",0.0714167357083678,0.0358291848423337,0.0714167357083678,0.0358291848423337,0.9948632974316488,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,1.0,grid,0.9948632974316488,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.8,"PenaltyBisect, λ=0.000",0.0705882352941176,0.0342965280710271,0.0705882352941176,0.0342965280710271,0.8,1.6207465699749637,3.253018617630005,10.54596199653518,1.0,0.0001907348632812,bisect,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.8,OracleGate,0.0707539353769676,0.034344426136697,0.0707539353769676,0.034344426136697,0.80016570008285,1.6208484877644735,3.253018617630005,10.545961915310889,1.0,,,,0.0,1206.0,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.8,QuotaGateV6,0.0705882352941176,0.0342965280710271,0.0705882352941176,0.0342965280710271,0.8013256006628003,1.6205953452677495,3.253018617630005,10.545954864441905,1.0,,,,,,7.0,0.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.85,Baseline(mu-only),0.0705882352941176,0.0342965280710271,0.0705882352941176,0.0342965280710271,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.85,HardBisection,0.0717481358740679,0.0348236568633889,0.0717481358740679,0.0348236568633889,1.0,1.4622569187117591,2.3018548250198365,10.497955860021,1.0,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.85,"PenaltyGrid, λ*=1.000",0.0714167357083678,0.0358291848423337,0.0714167357083678,0.0358291848423337,0.9948632974316488,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,1.0,grid,0.9948632974316488,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.85,"PenaltyBisect, λ=0.148",0.0709196354598177,0.0350884390349135,0.0709196354598177,0.0350884390349135,0.8502071251035626,1.4927543366224487,2.982408595085144,10.536540626314126,1.0,0.1483917236328125,bisect,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.85,OracleGate,0.0712510356255178,0.0344657217714482,0.0712510356255178,0.0344657217714482,0.8500414250207124,1.6064806683197337,3.252876281738281,10.544993207389496,1.0,,,,0.0,905.0,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.85,QuotaGateV6,0.0710853355426677,0.034422198196328,0.0710853355426677,0.034422198196328,0.8500414250207124,1.6064588819776278,3.253018617630005,10.544892680477089,1.0,,,,,,0.0,0.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,Baseline(mu-only),0.0705882352941176,0.0342965280710271,0.0705882352941176,0.0342965280710271,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,HardBisection,0.0717481358740679,0.0348236568633889,0.0717481358740679,0.0348236568633889,1.0,1.4622569187117591,2.3018548250198365,10.497955860021,1.0,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,"PenaltyGrid, λ*=1.000",0.0714167357083678,0.0358291848423337,0.0714167357083678,0.0358291848423337,0.9948632974316488,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,1.0,grid,0.9948632974316488,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,"PenaltyBisect, λ=0.329",0.0714167357083678,0.0353282134738005,0.0714167357083678,0.0353282134738005,0.9000828500414251,1.3526033755771465,2.6677314281463627,10.503240027423722,1.0,0.3293991088867187,bisect,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,OracleGate,0.0714167357083678,0.0345826206977578,0.0714167357083678,0.0345826206977578,0.9000828500414251,1.5814028555275788,3.2328308105468757,10.540983112053922,1.0,,,,0.0,603.0,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,QuotaGateV6,0.0714167357083678,0.0345914888790173,0.0714167357083678,0.0345914888790173,0.9000828500414251,1.581030068740977,3.222679424285889,10.540788400834913,1.0,,,,,,0.0,0.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.95,Baseline(mu-only),0.0705882352941176,0.0342965280710271,0.0705882352941176,0.0342965280710271,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.95,HardBisection,0.0717481358740679,0.0348236568633889,0.0717481358740679,0.0348236568633889,1.0,1.4622569187117591,2.3018548250198365,10.497955860021,1.0,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.95,"PenaltyGrid, λ*=1.000",0.0714167357083678,0.0358291848423337,0.0714167357083678,0.0358291848423337,0.9948632974316488,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,1.0,grid,0.9948632974316488,,,,,,,,,,,
